country,water security index
Afghanistan,1
Armenia,3
Australia,4
Azerbaijan,2
Bangladesh,1
Bhutan,2
Brunei Darussalam,4
Cambodia,2
"China, People’s Republic of",3
Cook Islands,3
Fiji,3
Georgia,3
"Hong Kong, China",3
India,1
Indonesia,2
Japan,4
Kazakhstan,3
Kiribati,1
"Korea, Republic of",3
Kyrgyz Republic,2
Lao People’s Democratic Republic,2
Malaysia,3
Maldives,3
Marshall Islands,2
"Micronesia,Federated States of",2
Mongolia,2
Myanmar,2
Nauru,3
Nepal,2
New Zealand,4
Pakistan,1
Palau,3
Papua New Guinea,2
Philippines,2
Samoa,2
Singapore,4
Solomon Islands,2
Sri Lanka,2
"Taipei,China",3
Tajikistan,2
Thailand,2
Timor-Leste,2
Tonga,2
Turkmenistan,2
Tuvalu,3
Uzbekistan,2
Vanuatu,2
Viet Nam,2
