,Area,Agricultural water withdrawal,"Agriculture, value added (% GDP)",GDP per capita,Industrial water withdrawal,National Rainfall Index (NRI),Population density,SDG 6.4.2. Water Stress,Total renewable water resources per capita,Total population with access to safe drinking-water (JMP),Poplulation ages 65 and above,latitude
0,Pakistan,197.1988480004443,13.72574067222223,2209.88700819332,1.489017947553382,111.77373810122663,398.37005794213474,143.18919148776627,-877.9369881422317,98.05466666666672,21.483535354956985,30.3753
1,Italy,6.503054763044474,-2.314735510000105,64646.13889766345,4.908547348874606,806.0222264437743,210.95485867422224,20.082626144577944,2985.7268717177776,100.00000000000007,29.391150772571564,41.8719
2,Ecuador,8.075999999999997,-1.2397678955554738,8994.175465861073,0.7632504000000058,2829.6624692288824,99.0333794579667,7.273971272280011,-3625.5438369447365,103.99333333333357,10.449793079867959,-1.8312
3,New Zealand,6.444000204200023,2.9429263744443404,72842.11286170967,2.5375649657428596,962.7037406011132,22.437206187244442,12.84883128576439,37720.060254144715,100.00000000000007,5.0642821388319135,-40.9006
4,Estonia,-0.034297200000001915,-2.273008733333427,47806.96454781317,1.1659497436799633,571.2918095413329,22.978661682133293,10.690604007599575,11482.76853714668,100.6466666666667,14.09926320053637,58.5953
5,Afghanistan,12.98000000085716,4.4406225266670845,871.4949778766604,0.3954296702571405,35.15942222222293,82.5605293949775,62.48731759381204,-1595.0459778632503,105.50266666666585,95.59622268378735,33.9391
6,Yemen,3.9431066666666723,14.043433053332993,2242.5811354666657,0.09994666666666774,189.11330368166728,83.74964303055526,209.10641283200016,-127.20291537008961,38.75333333333333,7.770396790932864,15.5527
7,Tunisia,4.674428490386617,4.4207229988889765,6566.279144933331,1.5827898885733092,297.87497038433276,98.98890355243338,154.0695590885898,68.62357100044392,117.33333333333326,53.37218440696597,33.8869
8,Latvia,0.07407680000000072,-11.943705066666894,37100.1681267065,-0.024753333333332073,559.9121333333328,16.544248617999983,-0.3322639945200052,23787.91220640001,100.69466666666668,22.878941433504224,56.8796
9,Sri Lanka,12.924797333333402,-4.0114312888888435,6362.091017486644,1.7506527999999975,1562.9817222222227,411.6307921972211,114.76194108320033,1449.4782795844367,131.44933333333324,15.540861938148737,7.8731
10,Honduras,1.1779999999999995,-0.02778173444460208,3573.6919603844144,0.1701018183066676,1283.6282098300107,128.5801029256777,4.621268764000001,-6474.917610651115,114.39866666666649,21.292577899992466,15.2
11,Lao People's Democratic Republic,16.927466666666305,-4.308972744443736,3359.888929425564,0.26407500000000006,2260.6971427122153,43.02135642081112,11.230421555533098,-6688.964170411229,138.74800000000187,14.619357738643885,19.8563
12,Morocco,7.39898133333341,8.976853721111155,5060.027500229975,0.042233333333346224,227.45614921110973,110.17609618510005,64.14244280923361,177.4649201795619,101.85200000000009,6.876277488656342,31.7917
13,Kazakhstan,1.6396800000001122,-20.82099962666689,25055.66854681319,10.083680000000129,314.49837031999937,7.248600042599982,20.249087377600176,5338.605360626701,91.25466666666672,17.80758534371853,48.0196
14,Comoros,0.004699999999999999,39.82221875555575,1996.2674290222276,0.0004999999999999997,2021.6780954933383,658.8951902261124,0.8333333329999993,-1070.5220260577917,90.10000000000004,37.57827010191977,-11.875
15,Nigeria,7.5228351645999965,36.235714456666926,1880.906232096615,3.8764417583142574,1231.5262169122216,303.6841887250339,16.644762586000013,-906.8484147166891,105.37999999999965,90.49665411561728,9.082
16,Kenya,4.823031782853292,22.955017608888568,1947.0875706066654,0.4525092709199967,909.7549678880024,133.48325280914423,55.38801525719941,-711.4148337183433,89.97199999999975,14.7162084300071,-0.0236
17,Netherlands,-0.15451306666666476,-0.6472566099999995,91537.65503755957,23.470211999999833,1021.629109765332,516.5247470796658,20.054404445285826,4216.129700472236,100.00000000000007,-10.881489489227533,52.1326
18,Albania,0.5488159999999951,-5.863116784444173,7250.942150966643,0.37868266666666983,1066.4291111111002,115.76615236351171,6.256760416573442,9067.033670774377,93.85399999999991,5.164505842898507,41.1533
19,Mauritania,1.2439802380952076,-0.06218114333319136,2009.7817165733286,0.03622038095238117,218.82379840577642,6.127149369393294,13.470676404618736,-2048.7196756100166,96.59600000000046,7.2968819215893745,21.0079
20,Zambia,0.8764333333333312,3.540678411111287,2303.4845153188726,0.15974666666666715,1058.5474816211065,33.182367059828834,2.385101011693326,-5481.03244281793,87.36533333333318,6.664144908078015,-13.1339
21,Kyrgyzstan,2.4382200002198715,-25.417552453332974,2482.3467699199828,0.4029199997800008,351.9412,41.07004178066666,21.27204259099949,1987.8870065333322,111.9853333333333,22.164271098095924,41.2044
22,Niger,2.7900400001733345,32.12487116888849,536.7287892555551,0.04171216564000024,307.44476983088856,25.46943490539229,13.263462602586628,-2559.202619704505,90.54933333333292,9.91350947925821,17.6078
23,Bangladesh,31.500000000000036,-7.783055909999803,1909.8766088322154,1.4859841271142784,2132.079135537776,1592.318706534781,5.723339482,-634.6062958322582,111.05066666666676,9.381017702340614,23.685
24,Senegal,3.325745054799995,5.166291538888743,1901.3539347977785,0.07879560448571421,450.0058889124439,116.17647355979943,18.818076076028603,-1889.5503944200173,102.33333333333326,5.278295797063038,14.4974
25,Germany,-1.822249333360034,-0.7541119733333517,79755.0238626108,-9.542373327600671,946.807722222221,240.9725164733332,-7.869186161466132,1778.8797414788896,100.00000000000007,9.225557804107666,51.1657
26,Viet Nam,127.90325238095329,-12.670380415555655,3491.4056551155372,3.9146819047618635,2415.4400492722125,400.02828790311105,29.270925507743073,2105.349372314289,142.4026666666664,24.13717970624566,14.0583
27,Tajikistan,9.420799997799975,10.429982106666898,1782.732037226633,0.154327999779996,83.08607408666467,92.05335205399979,54.9974872087995,482.3216210000246,103.48400000000083,21.371518042869866,38.861
28,Venezuela (Bolivarian Republic of),31.22811407393408,4.006282128888927,15218.033724667563,1.0978866517122245,1818.5530421622238,48.78453487163324,13.448698267307748,-2980.546436856035,98.63866666666661,7.909134420566261,6.4238
29,Cyprus,0.19933202117000026,-7.9520926933335545,54958.935503173154,0.02133576180666652,194.36335872922155,178.6815843074778,33.53002335242229,153.45037827189662,100.00000000000007,-32.493084102869034,35.1264
30,Saudi Arabia,23.697111112533463,3.630211627777929,31282.17982717196,2.161030111253311,53.714833333334354,24.08064967997541,1237.3001897533359,-113.23511459634756,104.28800000000012,-11.880274571478367,23.8859
31,Denmark,-0.14092307399333137,-2.165773371111129,106836.52450102195,-0.02317250005888205,771.5500388888881,149.9061960745555,-2.360494441632909,946.9870128133352,100.00000000000007,13.137444694526494,56.2639
32,Malawi,1.5051499999999933,1.0650140599993847,393.6953397066668,0.07584371428571446,1097.200580281109,221.69262517010975,22.97278803720002,-800.900534931774,150.86000000000013,-11.00858248770237,-13.2543
33,Chad,1.3611485715428628,21.0380634,1478.9516492622133,0.23412285714285552,657.9162063621095,17.67288582376881,8.778056318314327,-4092.463106901094,66.00533333333328,5.226877951528877,15.4542
34,Thailand,51.78999999999998,-4.963074526666901,10907.018897476664,4.8455529410786085,1907.6431084977748,179.4692488142664,23.013935179999997,3097.569349999947,111.84266666666656,0.556706864386797,15.87
35,Slovakia,-0.0410860000000004,2.9772312600000177,45768.89603398065,-0.7137380000000277,828.8199999999997,112.576131094,-3.4535714294001423,9071.694487839988,100.34999999999998,3.006048508454114,48.669
36,Burkina Faso,0.6455039364857118,20.655148303333334,1128.2384476222142,0.05555999999999961,774.4204031925543,103.09681847458933,14.929577831914287,-549.262184260675,138.41733333333332,17.565084993839264,12.2383
37,Central African Republic,0.0004000000000000001,40.14444778666681,448.0693041888899,0.022404395514285746,1298.0117724322217,11.228868989841033,0.6549338618571383,-6129.126748288749,83.0293333333334,-3.856725972145796,6.6111
38,Mozambique,1.7837987873599985,12.546460234444794,487.68696098443434,0.046262666666666785,1037.8650792468875,51.480340921589004,3.1204743423733134,-3396.0341612056363,73.94799999999987,2.5750488181365654,-18.6657
39,Ethiopia,19.655358181660404,14.121267939999825,1651.102398180039,0.11671800000000143,1043.1066661600003,163.14356096220217,66.12153737380163,-304.52127470003325,116.11400000000185,7.168655904009938,9.145
40,Portugal,10.819742222600098,-15.491897078888996,41577.27385401889,-0.20065333333337776,999.0451460062222,123.45183662755568,12.720856008000169,6682.7377599799875,105.24133333333342,-24.803083397448063,39.3999
41,Congo,0.0034936262285714254,-4.302028318889029,4418.596674411077,0.04374857154285694,1707.1268521899985,22.495397245754532,0.03215138197142858,-148099.28307266533,91.1760000000005,29.43038274347782,-4.0383
42,Qatar,0.44500800000000496,-0.6403897977777504,123518.12339669885,0.2723676000000079,16.77950000000078,353.9867123827098,497.3672605098891,-223.52271974782343,102.22266666666667,2.048022131435573,25.3548
43,Cambodia,2.052999999999999,5.774326780000365,2002.9380613033063,0.07054045077142868,2702.8358730944383,132.63899675725543,1.0365448510000004,-8875.242163354997,148.07466666666733,19.83479582518339,12.5657
44,Dominican Republic,14.916236000000367,-4.559137261111005,11198.774648378836,1.8918696000000637,240.39410500445229,304.76107439966654,100.61457326720256,347.62016174776363,81.72800000000007,10.739202276337892,18.7357
45,Nicaragua,1.1959300000000002,19.634320841111204,2636.205344266644,0.11713771522000149,1475.2805927911177,70.8220299471443,3.0373128304400083,-199.6801292449236,106.2026666666668,4.868781360797584,12.8654
46,Ukraine,-2.711237333333372,-6.367106906667004,6246.947663693252,-8.821371999999997,1846.1000000000015,57.21330853533334,-16.577754163733516,4695.470986719993,93.90999999999988,-19.836134359240532,48.3794
47,Cuba,7.721656969380149,-5.034649427777708,12049.636354027723,1.279686027836675,879.8974380388881,120.711052435689,34.378824948600595,2768.371389963333,103.80600000000021,24.874994680285454,21.5218
48,Zimbabwe,5.132032142742858,16.628343707777745,993.4778225944535,0.14594000000000085,787.5865740718814,51.49976732924438,58.096970387428655,100.70999490442045,73.22000000000008,-9.46004968509078,-19.0154
49,Brazil,53.26634000000058,-2.9831019788888398,18554.063846779754,12.50942000000002,1861.256888888889,34.300358161877625,5.015778228114286,9589.556293066358,110.27066666666667,28.030048766639084,-14.235
50,Slovenia,0.0017912379200001188,-3.720579333333376,50904.13582393341,0.876172000000004,1017.1720000000014,107.31671247866657,6.73260311004001,14587.300411466676,99.35866666666674,6.557074468582869,46.1512
51,Somalia,6.439820512885717,46.04046366624209,183.95910718111168,0.005161904714285709,357.5045666666647,33.052878221868696,47.97111113668552,-573.5058862700243,51.83600000000024,12.469787775538862,5.1521
52,Trinidad and Tobago,0.018475333400000057,-4.70729452555554,29857.38349633338,0.19577800000000112,1654.6662960977737,321.7899209237785,24.10068521060009,2047.4164286188825,100.02133333333336,6.557074468582869,10.6918
53,Equatorial Guinea,0.001506228571428573,-14.091133831110938,30222.58115661191,0.005262857142857166,2424.4081530611193,69.10214391567979,0.3046410500285699,-58004.71414929908,48.89600000000006,27.633595813065767,1.6508
54,China,338.32722449785615,-13.273655172222107,12735.153242805507,263.79351190397756,1074.3415741177769,195.9426725117778,53.79679460664295,1088.7600065677761,132.30133333333333,11.349739752709866,35.8617
55,Canada,1.2991599999999721,-0.3905730055555665,84568.60724711139,20.240912485600006,638.4608888888883,4.762549501470012,2.8420899067714203,41192.396879321896,99.80000000000004,56.746613789349794,56.1304
56,Namibia,0.2746058571428569,7.5725413277778095,8573.028272696625,0.021471666666666722,297.89039382744136,4.318770357864437,1.1970834777428543,-5007.74985228898,118.85866666666652,9.031769532710314,-22.9576
57,Suriname,0.40729948691428675,14.873872114444772,10485.217386472155,0.31006813188571414,1515.4341798477762,4.615602958931092,5.12375125422858,74313.99818511121,107.05800000000033,14.30773588269949,3.9193
58,Libya,6.7438830355714,0.8743890677779689,10297.105641764327,0.5747139032266624,93.55327777777711,5.616157456487784,1376.5827481942251,-16.435462637668024,71.20000000000005,9.370574690867215,26.3351
59,Bolivia (Plurinational State of),3.024970634914304,0.8509866066667655,4680.258604298855,-0.007740259371428415,1229.2927408433297,14.622957598597736,1.7864298066000046,-1355.033925855998,117.65066666666667,30.508844662457705,-16.2902
60,Panama,0.3279600000000036,-3.2282386344444944,21076.774251324474,-0.018564800000001158,2547.6676189877735,78.48659300938925,1.1753347237999971,-3069.934925788548,108.04399999999998,23.68839031085372,8.538
61,Mongolia,0.3041928462200021,14.120414728889124,6375.188610855548,0.1906865644999966,139.0172530893342,2.691622025581104,3.521750442439962,2394.447603133216,81.68799999999987,8.726118121761829,46.8625
62,Rwanda,0.10199999999999994,9.270091802221941,1007.6209215066629,0.0336142857142856,1089.0703119511113,639.5890606347803,7.557655630120053,-252.23358202111558,98.81866666666656,9.233146762475371,-1.9403
63,Myanmar,31.734747250571445,17.017612878889395,1851.0541902099794,1.0249454943428553,2224.689184986659,106.45259474326713,6.901169501971438,8919.649952022126,114.45333333333338,80.14561522006989,21.914
64,Costa Rica,6.453399999999931,-4.829558093333276,18227.08086044877,1.256399999999978,2685.173777895554,144.9661845326341,15.080204773800006,-3669.3972101002,104.40400000000005,70.95651093125343,9.7489
65,Poland,0.5012895555555623,-10.433467902222219,24374.33916116529,3.9965528203200904,622.7228666666649,132.2630095160003,21.627852773288964,1441.5923478333298,103.77600000000001,121.90436337888241,51.9194
66,Romania,-6.4022566666663465,-4.829598514444228,16480.229022599757,-0.6812103703920798,676.4600405755538,74.34007451347804,-6.673868797836349,11648.908159596642,134.9973333333328,9.906781528145075,45.9432
67,Georgia,-0.24136540438666998,-62.28479074666757,9516.71720181324,0.22784167487999163,936.359999999997,31.671763948533,-0.12403676938674835,21239.181862266676,121.4559999999999,3.630324657075107,42.3154
68,Paraguay,3.9376326373142803,2.8266650033332326,8351.923649697768,0.33305417591428643,1269.9158810000022,25.2545316695078,3.824001281828558,-13026.900031766854,154.8786666666665,4.651073491666466,-23.4425
69,Bhutan,0.3180000000000002,-10.058632669999724,4799.386334990006,0.004340136142857137,2384.406296156658,29.770357313758836,1.4138075310000022,-37832.03409277927,139.9119999999998,-28.12212833017111,27.5142
70,Turkey,82.8658222225331,-5.8127939233335155,19344.43753583316,0.8494111110799736,610.1558412719985,142.83181011413308,68.73600472706653,443.85417972777213,119.16800000000023,-6.102856166660786,38.9637
71,Gambia,0.06333529396428572,16.780783142221935,301.0821177766811,0.045848688042857466,425.4142306664471,303.9580211787661,4.296466554340455,-5751.728479913378,109.92133333333334,13.278242037631571,13.4432
72,Uzbekistan,46.944325388400046,23.59802998666771,3787.40677230664,2.549158572080003,95.40361907999977,101.1673360824002,172.12021335000134,541.7093694799914,83.1706666666667,111.67156593501568,41.3775
73,Liberia,-0.0708718681142857,127.32477399888876,232.99259118444297,0.10126813188571404,2636.878148169997,60.51576380254437,0.3083512499714285,-23605.205368733965,101.64200000000096,75.03825092315674,6.4281
74,Sweden,0.04608819876444592,-3.675230534444438,98436.00273177773,-0.10060052358667804,792.8661326258903,24.662556222955573,1.4119227193955055,15040.109501577797,100.00000000000007,22.775026751682162,60.1282
75,Peru,16.333999999999946,-0.40963801111121256,10562.106127113278,-0.06531999999999627,2139.405481621104,34.602741061011216,4.565296760999985,9828.241715821438,102.67466666666667,40.69045003503561,-9.19
76,Belize,0.14364380931428533,3.301638496666726,8572.332378174411,0.04803780234285737,2052.25774060111,24.50974004243767,2.6641453932857218,-35095.705709878355,136.39866666666717,20.754360631108284,17.1899
