,Country,Access to Drinking Water,Access to Sanitation,Industrial Pollution,Agricultural Pollution,Water Scarcity,Water Management,Total,2030 Water Demand (m3),Water Stress,Continent,GDP_2015
0,Afghanistan,427291036.8917,369548386.499147,4183430.21347,37959330.3225,1290449236.34,425886284.053394,2555317704.32036,26956609343.737,43.67,Asia,18713048410.19328
1,Algeria,890589743.655,1248776790.9341,785795176.292,142997438.114,1096621401.3,832956110.0592,4997736660.3552,14197912816.35,87.99,Africa,165979119044.5535
2,Argentina,304026952.8949,1210028539.6421,1422884650.1,3235134909.01,3236599138.16,1881734837.962,11290409027.772,29791870626.98,6.644,South America,644903200498.5957
3,Armenia,23821449.0679,40147810.700974,5295279.69113,1645753.76775,132609915.122,40704041.669956,244224250.019736,1859931076.009,66.02,Asia,10553337527.774534
4,Australia,556908563.703,727483749.4883,495863277.027,2101342867.61,6355194461.54,2047358583.8734,12284151503.2404,41073171514.3,4.58,Oceania,1247634399290.8735
5,Austria,47220702.4286,63625906.03274,593861691.282,41450421.4882,10952359.2091,151422216.08806,908533296.52836,5314940800.222,7.623,Europe,381817565893.5738
6,Azerbaijan,131698354.3257,183577806.160191,449109396.141,7209227.99425,1368064669.59,427931890.84225,2567591345.0535,15040011954.195,53.13,Asia,53076244754.50366
7,Bahrain,57421519.8106,65990193.1025892,6323433.49512,0.0,29557818.1555,31858592.912724,191151557.476344,281163326.2071,205.8,Asia,31125797872.340424
8,Bangladesh,1276450228.7,1367818665.655,54460621.0704,548253660.248,2730718929.58,1195540421.04968,7173242526.29808,56060659209.47,3.786,Asia,194465981064.67563
9,Belarus,31551703.0882,51176595.389283,151831873.533,15884721.9489,19264.9920687,50092831.7902737,300556990.741642,4134015117.9051,4.544,Europe,56454777259.768295
10,Belgium,69825916.6524,75330162.06097,750678309.537,11098218.9185,2985265452.3,778439611.8937,4670637671.3622,6826445719.23,56.48,Europe,462149679343.82184
11,Belize,21953743.14345,10551674.9388623,27996014.159,479080.221191,5734322.81595,13342967.0556882,80057802.3341292,255968682.9696,0.6872,North America,1723785356.5
12,Benin,126479602.0243,295450077.1225,42312964.4046,15215744.4579,37410.9762643,95899159.7971529,575394958.782917,480727447.1599,0.7079,Africa,11379544643.204834
13,Bhutan,31851001.71014,30860773.7900621,324570.289903,37972724.3229,18840741.6761,23969962.3578406,143819774.147044,420463586.5337,0.5624,Asia,2003596257.6718912
14,Bosnia and Herzegovina,20363313.5486,36497754.823618,2531450.35942,30949757.1114,0.0,18068455.168604,108410731.011624,440949311.5454,1.434,Europe,16211618367.740126
15,Botswana,178423031.9874,185387145.24199,15317014.0486,43127337.5632,18161067.3445,88083119.23706,528498715.42236,238643004.9465,2.089,Africa,14420571191.715553
16,Brazil,6305916885.96,5399402550.6266,2255648132.35,4774997104.9,5003067112.88,4747806357.346,28486838144.076,69432178671.0,1.323,South America,1802211999555.591
17,Brunei,7147406.60082,6327215.305852,16495567.7174,0.0,0.0,5994037.92482,35964227.54892,143420484.428631,1.879,Asia,12930298314.133038
18,Bulgaria,0.0,57059339.1769,245376837.316,53807697.9177,496229027.884,170494580.45892,1022967482.75352,5661537110.492,41.85,Europe,50630695987.30447
19,Burkina Faso,413025418.253,559908311.116,27172945.5602,12986488.9873,40549678.5053,210728568.48456,1264371410.90736,2014521644.826,9.492,Africa,11823207030.166265
20,Burundi,139221876.57816,121673247.46284,7558668.69614,1462875.2774,8591481.23727,55701629.850362,334209779.102172,614944722.5895,3.088,Africa,2810531639.5568476
21,Cambodia,124033630.149,184264534.72173,28219438.1863,336575578.607,291053391.813,192829314.69546,1156975888.17276,4830060055.021,0.6095,Asia,18049953905.721836
22,Cameroon,615863139.223,718737518.0299,49765541.9875,87805144.7163,27110499.0434,299856368.59944,1799138211.59664,1864566514.501,0.4756,Africa,30905253106.21296
23,Canada,458276820.323,627218457.776612,1972013775.11,1666927103.98,5662899449.71,2077467121.38,12464802728.28,46217911292.82,2.208,North America,1556128742617.2236
24,Central African Republic,137445994.3132,79157716.76844,16682174.995,9113501.3766,1482531.10138,48776383.710996,292658302.265976,279501578.0686,0.0698,Africa,1694542946.120011
25,Chad,793596083.314,405305334.07627,129432325.006,29092305.0717,133773273.107,298239864.11494,1789439184.68964,2711859879.681,2.439,Africa,11690460036.73648
26,Chile,138313026.3181,194661005.514684,565213654.682,425592669.677,4576774909.31,1180111053.1004,7080666318.6024,37406862216.25,5.497,South America,243919085308.94537
27,China,12625461412.89,16027122446.441,12442236000.0,7734537749.33,85262105788.7,26818292679.466,160909756076.796,716040502811.0,29.38,Asia,11061572909611.762
28,Colombia,1799917082.772,1171934918.7876,54775283.2759,1794112742.3,217384499.493,1007624905.32578,6045749431.95468,21667274071.39,0.8558,South America,293481753078.873
29,Costa Rica,107079880.9027,471928144.34629,412345492.468,332525423.142,238812347.158,312538257.6034,1875229545.6204,4104131424.37,3.065,North America,54775997555.692406
30,Croatia,14564761.1759,31014903.56761,5654306.71218,34850804.1688,0.0,17216955.124896,103301730.749376,661591340.7139,0.9785,Europe,49530625299.14922
31,Cuba,213216226.298,155776767.95217,85713434.9677,80794152.0854,516887082.73,210477532.80662,1262865196.83972,2571089437.364,25.62,North America,87205671392.82736
32,Czech Republic,77879691.36345,132784996.60695,93138344.2662,50449830.7426,30835913.9298,77017755.38172,462106532.29032,2326157005.5792,23.99,Europe,188033050459.8811
33,Democratic Republic of the Congo,2033874502.027,2228217364.5799,963994781.642,78562760.5346,88769620.1184,1078683805.781,6472102834.686,6566736370.8088,0.0904,Africa,37917678437.72589
34,Denmark,57985487.3915,64819653.4317543,0.0,29509376.7183,75225314.109,45507966.33006,273047797.98036,922835169.7618,20.72,Europe,302673037998.6022
35,Djibouti,13367173.8673357,32008795.7768331,681041.940916,211192.046631,195365.040447,9292713.7344388,55756282.4066328,134922483.44728,7.899,Africa,2445484583.203916
36,Dominican Republic,717292620.392,363703030.54594,18404876.7903,112626770.849,272936345.893,296992728.89446,1781956373.36676,4988775726.335,43.73,North America,71155035229.06207
37,Ecuador,276499197.3995,254446688.06688,31910293.3835,719316606.847,867382366.344,429911030.4083,2579466182.4498,13310343929.692,3.736,South America,99290381000.0
38,Egypt,1277799362.813,2117732721.0402,1072443995.71,718108.861694,2564772524.97,1406693342.67834,8440160056.07003,85071960137.2,159.8,Africa,317744560653.816
39,El Salvador,237731148.3588,208228507.844485,106229517.758,65251103.9219,188554745.687,161199004.71398,967194028.28388,1509129299.01,11.37,North America,23438237940.0
40,Equatorial Guinea,69402742.6061,75766556.11181,1155952.38754,60189120.4297,0.0,41302874.307048,247817245.842288,60321875.9897787,0.1011,Africa,13175520651.919365
41,Eritrea,42699631.662177,364613829.161754,190312.732014,275968649.72,26697132.4649,142033911.148183,852203466.889097,558808269.2775,10.11,Africa,2013196747.9674797
42,Estonia,11229316.30615,6302556.2160032,5525243.93379,3648810.90256,389813423.95,83303870.26171,499823221.57026,1710106764.93841,22.48,Europe,23048864242.607212
43,Ethiopia,928780234.32,7041080883.0685,58859999.7838,171123172.343,159940809.648,1671957019.83296,10031742118.9978,6899383489.033,11.6,Africa,63078657756.0862
44,Finland,39298310.3283,32696955.687006,38369910.2258,35621019.254,485278527.017,126252944.50242,757517667.01452,1923685773.9602,10.45,Europe,234440080998.27307
45,France,709318712.854,724035510.491501,1724338081.51,757448912.143,10432725367.6,2869573316.9186,17217439901.5116,35318489665.47,22.77,Europe,2438207896251.8413
46,Gabon,59772015.5851,139075870.29372,6558974.95974,162210959.457,0.0,73523564.059148,441141384.354888,177879681.1694,0.1223,Africa,14372290378.657764
47,Gambia,23736123.5818,51141693.546823,41780731.4316,7466725.52344,20499422.5624,28924939.329208,173549635.975248,330939184.0056,1.451,Africa,1378176605.9605782
48,Georgia,16795720.75958,49201636.41817,37625689.7323,25407661.6951,112232131.722,48252568.06544,289515408.39264,1701039964.828,4.574,Asia,14953682859.41956
49,Germany,333726400.248,477607110.0434,0.0,202913036.39,2898887676.23,782626844.5824,4695761067.4944,28632812431.679,41.46,Europe,3356235704119.753
50,Ghana,793783133.474,1658862118.5973,256446567.827,21470836.2597,68779692.3613,559868469.7036,3359210818.2216,2630569048.394,2.787,Africa,49181519588.60695
51,Greece,65244055.2385,115453909.27374,22843163.989,156122692.415,904879904.775,252908745.1382,1517452470.8292,8619158303.499,19.72,Europe,195318009904.13144
52,Guatemala,255126080.291,467571516.84151,1287475509.06,612337799.265,1417265174.01,807955215.8934,4847731295.3604,8817945015.987,3.761,North America,62186064755.19003
53,Guinea,265277188.908,160336651.77069,18835596.1951,309742965.785,104869349.697,171812350.47122,1030874102.82732,2330031703.424,0.3266,Africa,8794202415.763079
54,Guyana,9821922.65098,5582003.431749,5563071.31714,302301007.113,4664327.23257,65586466.349082,393518798.094492,752585080.0774,0.8622,South America,4279840193.7046003
55,Haiti,188420054.5583,134828320.01185,49782385.4821,83454816.8271,143760964.481,120049308.27204,720295849.63224,1802950374.994,15.64,North America,8354846207.3683195
56,Honduras,292422127.647,294767512.52094,950261183.349,149506234.172,506364076.194,438664226.7766,2631985360.6596,3414983942.115,2.494,North America,20979791685.416042
57,Hungary,88960525.9255,67721063.524661,801455334.101,60815415.8561,0.0,203790467.88142,1222742807.28852,6753704327.247,8.205,Europe,125074286021.1397
58,India,9644126005.18,27526581054.617,669639992.735,4381366281.96,48764854513.3,18197313569.559,109183881417.354,958896738620.9,44.53,Asia,2146758608054.85
59,Indonesia,3385802771.45,4002305908.9645,2593866792.19,2587380848.5,8231945128.35,4160260289.89,24961561739.34,128269351653.6,9.241,Asia,860854232717.8527
60,Iran,1422491527.182,2910923859.82954,143847784.245,143835848.693,5348815175.87,1993982839.1636,11963897034.9816,106209541328.99,90.0,Asia,393436064752.8854
