,country,water security index,Total area of the country (excl. coastal water) (1000 ha),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Human Development Index (HDI) [highest = 1] (-),Total renewable water resources per capita (m3/inhab/yr),Dam capacity per capita (m3/inhab),Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Total water withdrawal (10^9 m3/yr),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Agricultural water withdrawal as % of total water withdrawal (%),SDG 6.4.2. Water Stress (%),SDG 6.4.1. Water Use Efficiency (US$/m3),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),Total population with access to safe drinking-water (JMP) (%),Rural population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),"Mortality rate, infant (per 1,000 live births)",Resilience and securityStorage drought duration index(Total dam capacity_km3)
0,Afghanistan,1,0.038181167,0.029867419,0.010630264,0.006753895,0.003034231,0.286053285,0.206896552,0.003540469,0.001578856,0.029069767,0.000808298,0.002541613,0.026764828,0.114077541,0.986782782,0.014213729,0.000594481,0.002115932,0.000564235,0.345534407,0.418859649,0.557809331,0.565491184,0.002387387
1,Armenia,3,0.001737608,0.001215956,0.00218463,0.012224856,0.023070776,0.181188097,0.663793103,0.005189421,0.013434342,0.00309157,0.000583691,0.007743229,0.003759289,0.199058987,0.746046732,0.015003252,0.002508489,0.005276213,0.000379806,1,1,1,0.11209068,0.001648129
2,Australia,4,0.452748298,0.003876038,0.024898423,0.000149309,0.348070932,0.031137787,0.972413793,0.039364964,0.09025312,0.015261628,0.012694325,0.042701112,0.021746529,0.137196559,0.637574251,0.00165795,0.059041638,0.008248167,0.002255255,1,1,1,0.018891688,0.092437045
3,Azerbaijan,3,0.0050631,0.004935425,0.006441348,0.014073121,0.024423407,0.067572376,0.653448276,0.006927793,0.062414696,0.013473837,0.014601812,0.005642431,0.016789335,0.266128461,0.729019144,0.014651687,0.002840183,0.00392521,0.00012849,0.80966325,0.756578947,0.892494929,0.20906801,0.025599827
4,Bangladesh,2,0.008652772,0.118781988,0.070009936,0.135712502,0.008368978,0.162054695,0.406896552,0.015114677,0.001156994,0.045784884,0.003671912,0.045320813,0.047129088,0.044614125,0.882721283,0.001479271,0.004519096,0.01308498,0.00161431,0.808199122,0.85745614,0.726166329,0.302267003,0.007696918
5,Bhutan,3,0.002243742,0.000543419,0.000376502,0.002195824,0.018233727,0.209908432,0.417241379,0.205787273,0,0.000462209,1.43E-05,0.000193959,0.000437585,0.091804966,0.945703161,0.00036005,0.004638135,0.009464291,0.004551257,1,1,1,0.279596977,0
6,Brunei Darussalam,3,0.000335707,0.000109381,0.000384851,0.009018007,0.169709455,0.01285273,0.810344828,0.039389196,0.003024896,7.70E-06,0.017546045,0.001887947,0.000114324,0.042986253,0.057907186,0.000893142,0.038222295,0.069398229,0.010387795,0.825722432,0.812739128,0.884861749,0.100755668,5.35E-05
7,Cambodia,2,0.010586482,0.013863142,0.004353272,0.010890876,0.007730435,0.282461585,0.353448276,0.058496669,1.78E-06,0.002984012,0.000157368,0.00121413,0.002863357,0.026414218,0.944888876,0.000262071,0.005571263,0.005962545,0.00406436,0.641288433,0.661184211,1,0.267002519,1.19E-06
8,China,3,0.56146083,0.672295616,1,0.01881399,0.052630178,0.092094642,0.655172414,0.003845977,0.016307513,0.559883721,0.636623748,1,0.785938147,0.083219448,0.64737645,0.011217907,0.017029072,0.035983798,0.000795096,0.934114202,0.923245614,0.949290061,0.065491184,0.986873886
9,Fiji,2,0.001066778,0.000450689,0.000590361,0.00580034,0.034981918,0.127176345,0.6,0.064001114,0.004324789,7.27E-05,4.58E-05,0.000298495,0.000104994,0.018230676,0.591979592,7.01E-05,0.033379428,0.005256683,0.001518644,0.93704246,0.903508772,0.989858012,0.253148615,0.000158093
10,Georgia,3,0.004074693,0.001837594,0.002693152,0.006995591,0.024384815,0.075231135,0.706896552,0.031075094,0.024292271,0.001541888,0.001918008,0.004513625,0.002388978,0.092095969,0.584923509,0.001535049,0.005858422,0.006878812,0.000104734,1,1,1,0.086901763,0.004056895
11,India,2,0.192255627,1,0.533561344,0.051058055,0.011189817,0.188755268,0.465517241,0.002807828,0.005272985,1,0.081068193,0.705283734,1,0.115557887,0.908757907,0.017261426,0.00214814,0.007175886,0.000714582,0.913616398,0.918859649,0.941176471,0.33627204,0.294071275
12,Indonesia,3,0.115772227,0.134608934,0.171097621,0.016593839,0.022545465,0.158916289,0.570689655,0.015003983,0.002586865,0.275726744,0.043562232,0.299734,0.292551199,0.171837142,0.856482141,0.007705314,0.00290548,0.004197449,0.000811638,0.815519766,0.775219298,0.882352941,0.234256927,0.028521181
13,Japan,4,0.022104055,0.012135595,0.138367482,0.042251517,0.228896578,0.014097058,0.931034483,0.006633722,0.007041218,0.079113372,0.055364807,0.194064364,0.107024356,0.130070478,0.671725239,0.009691279,0.044723667,0.013023226,0.002181533,1,1,1,0.002518892,0.037401375
14,Kazakhstan,3,0.159365829,0.008734396,0.01236896,0.000585161,0.054552536,0.054374741,0.75862069,0.011794478,0.126132021,0.021976744,0.033304721,0.029539638,0.032123733,0.277298077,0.621583656,0.008079492,0.00568249,0.00070207,0.000135482,0.896046852,0.842105263,0.987829615,0.09697733,0.095004585
