,country,Total area of the country (excl. coastal water) (1000 ha),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Urban population with access to safe drinking-water (JMP) (%),Total renewable water resources per capita (m3/inhab/yr),Total population with access to safe drinking-water (JMP) (%),Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Rural population with access to safe drinking-water (JMP) (%),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Total water withdrawal (10^9 m3/yr),Agricultural water withdrawal as % of total water withdrawal (%),Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),SDG 6.4.2. Water Stress (%),Human Development Index (HDI) [highest = 1] (-),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),Flood occurrence (WRI) (-),SDG 6.4.1. Water Use Efficiency (US$/m3),Dam capacity per capita (m3/inhab),Resilience and securityStorage drought duration index(Total dam capacity_km3),nutrient security,National Rainfall Index (NRI) (mm/yr),"Mortality rate, infant (per 1,000 live births)",longitude,latitude,population ages0-14,Population ages 65 and above(-of total population),Net official development assistance and official aid received (current US$),% of total cultivated area drained (%),Total exploitable water resources (10^9 m3/yr)
0,New Zealand,0.01564219,0.000716242,0.004804819,0.001962127,0.396262398,0.070083801,1,0.136795006,1,0.010181565,1,0.22648821,0.006826728,0.619807072,0.004661337,0.005646161,0.002083027,0.943103448,0.050489848,0.000571392,0.346938776,0.027116167,0.102448911,0.020068432,0.259414226,0.319316718,0.028967254,0.987117624,0,0.192881164,0.552696236,0.066222053,0.054238023,0.030930041
1,Argentina,0.162600399,0.004107889,0.048145754,0.001740193,0.131169308,0.066011162,0.979716024,0.039228305,0.98682284,0.073658915,1,0.175679908,0.049637836,0.743110509,0.04059593,0.019074869,0.002708555,0.79137931,0.002076186,0.00065981,0.510204082,0.01099105,0.085413683,0.156343403,0.071129707,0.293332128,0.083123426,0.308625992,0.023468857,0.326947614,0.375726244,0.059578524,0.038556535,0.024691358
2,Chile,0.044206132,0.002539941,0.018711229,0.00282705,0.139051776,0.046595163,0.993914807,0.098301687,0.985358712,0.015937349,0.926535088,0.394053443,0.046551084,0.834648619,0.042761628,0.022622794,0.002325604,0.813793103,0.004359113,0.000258057,0.510204082,0.005087028,0.020409866,0.015704992,0.046025105,0.694681067,0.055415617,0.286077282,0.04936064,0.19095288,0.399507953,0.107366343,0.012100179,0.004068313
3,Uruguay,0.010291268,0.00018504,0.003883774,0.002206314,0.155774177,0.061538315,1,0.098561485,0.995607613,0.00514368,0.933114035,0.218003322,0.004801746,0.870607888,0.004607558,0.000381497,0.002534403,0.748275862,0.002549562,0.003267528,0.612244898,0.010604552,0.142378849,0.020384496,0.368200837,0.431163432,0.056675063,0.330960204,0.079137608,0.216646856,0.513482374,0.075056807,0.166123332,0.028160494
4,South Africa,0.071284987,0.021782093,0.044268021,0.005641194,0.055066451,0.0282824,0.99188641,0.001771738,0.900439239,0.048973279,0.796052632,0.068406155,0.025458936,0.590764476,0.016555233,0.019551741,0.016109262,0.570689655,0.002908226,0.000343714,0.571428571,0.011844981,0.015521778,0.036864724,0.079497908,0.148242086,0.326196474,0.554855072,0.097683153,0.443522434,0.158637618,0.147193509,0.004086553,0.004926749
5,Lesotho,0.001760441,0.001815119,0.000714189,0.008429059,0.009582032,0.062290836,0.890466531,0.00284209,0.733528551,0.000231743,0.747807018,0.002588034,4.98E-05,0.087207514,5.52E-06,9.54E-05,0.000659259,0.243103448,0.000278821,0.000672411,0.673469388,0.040215596,0.039187992,0.003414588,0.129707113,0.200945613,0.837531486,0.569921398,0.106652233,0.536791694,0.140406265,0.071318672,0.22928995,0.00370823
6,Australia,0.452740936,0.003876038,0.024886693,0.000149309,0.526065918,0.031137787,1,0.039364964,1,0.042701112,1,0.137196559,0.021745372,0.637574251,0.015261628,0.012694325,0.00165795,0.972413793,0.008248167,0.002255255,0.551020408,0.059041638,0.09025312,0.092437045,0.050209205,0.19591816,0.018891688,0.870165482,0.147606781,0.185119175,0.54998612,0.077651533,0.015605461,0.0781893
7,Paraguay,0.023774257,0.002964375,0.004930991,0.001876295,0.051186887,0.124141135,1,0.111073782,0.970717423,0.004539134,0.944078947,0.070767718,0.003163099,0.790231668,0.002757267,0.000734382,0.000469541,0.601724138,0.002626503,0.00140417,0.673469388,0.010990181,0.139274723,0.039844056,0.175732218,0.340217367,0.188916877,0.323341839,0.164911107,0.44914779,0.203545297,0.069838861,0.413288684,0.01290535
8,Namibia,0.048194554,0.001453086,0.001452221,0.000116422,0.04779307,0.083882564,0.963488844,0.032674018,0.868228404,0.000899262,0.831140351,0.022999254,0.000370699,0.701532815,0.000292151,6.68E-05,0.000216624,0.465517241,0.001170542,0.004656176,0.428571429,0.028672832,0.008411922,0.000841982,0.217573222,0.089127144,0.366498741,0.542203978,0.169491525,0.655131183,0.091319029,0.071542024,0.00231945,0.00026749
9,Botswana,0.034008091,0.000806654,0.001846726,0.000226763,0.068184435,0.023787223,0.983772819,0.010918559,0.944363104,0.001246877,0.915570175,0.016325978,0.000245863,0.359365352,0.000100291,0.000111588,0.000517014,0.605172414,0.001504622,0.004088407,0.428571429,0.058296105,0.014355086,0.001318714,0.108786611,0.114942269,0.386649874,0.559826069,0.175434072,0.571397057,0.119548748,0.064230281,0.290912582,0.000411523
10,Mauritius,0.000104106,0.000841685,0.000592516,0.07784702,0.094438876,0.037173131,0.997971602,0.004279375,0.998535871,0.003254474,0.997807018,0.098778954,0.000801714,0.561335038,0.0005,5.72E-05,0.005751582,0.724137931,0.006227384,0.003552053,0.66122449,0.014253974,0.002094978,0.000110362,0.192468619,0.237792892,0.159949622,0.653326847,0.194138312,0.13138145,0.403873195,0.059939745,0,0.000445679
11,Zimbabwe,0.022838942,0.012596634,0.006298766,0.004339535,0.011208493,0.100658936,0.939148073,0.002763326,0.661786237,0.00612229,0.641447368,0.046659705,0.00438006,0.833863116,0.004026163,0.000388174,0.00813375,0.310344828,0.000881852,0.001018961,0.571428571,0.004108022,0.200222155,0.11875136,0.192468619,0.197443342,0.463476071,0.572542309,0.206729974,0.795150474,0.067946532,0.147506938,0.010734105,0.000617284
12,Madagascar,0.034333568,0.018254121,0.011054214,0.005234898,0.003764476,0.296849179,0.626774848,0.025923804,0.289897511,0.00495476,0.290570175,0.107656686,0.017806971,0.963889791,0.018895349,0.000772055,0.002939182,0.25,0.001846248,0.000267478,0.530612245,0.000446631,0.000550472,0.000586401,0.263598326,0.428621461,0.439546599,0.622935602,0.209077332,0.747396403,0.070310282,0.12740355,0.115752169,0.019860082
13,Mozambique,0.046737657,0.021535568,0.012453508,0.004264689,0.003129989,0.302822855,0.606490872,0.014905905,0.284040996,0.004665081,0.309210526,0.00887558,0.001927873,0.73426689,0.001563953,0.000119218,0.000447748,0.118965517,0.001031081,0.00309204,0.612244898,0.00607926,0.073815125,0.088099902,0.09623431,0.27723298,0.670025189,0.590677033,0.210033279,0.854063677,0.064140982,0.233252401,0.365450024,0.01382716
14,Fiji,0.00105334,0.000450689,0.000578338,0.00580034,0.052870817,0.127176345,0.989858012,0.064001114,0.93704246,0.000298495,0.903508772,0.018230676,0.000103812,0.591979592,7.27E-05,4.58E-05,7.01E-05,0.6,0.005256683,0.001518644,0.579591837,0.033379428,0.004324789,0.000158093,0.10460251,0.664459859,0.253148615,1,0.22975203,0.452196147,0.166421939,0.070683549,0.273931493,0.013787243
