,country,Total area of the country (excl. coastal water) (1000 ha),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Human Development Index (HDI) [highest = 1] (-),Total renewable water resources per capita (m3/inhab/yr),Dam capacity per capita (m3/inhab),Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Total water withdrawal (10^9 m3/yr),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Agricultural water withdrawal as % of total water withdrawal (%),SDG 6.4.2. Water Stress (%),SDG 6.4.1. Water Use Efficiency (US$/m3),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),Total population with access to safe drinking-water (JMP) (%),Rural population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),"Mortality rate, infant (per 1,000 live births)",Resilience and securityStorage drought duration index(Total dam capacity_km3)
0,Afghanistan,0.038181167,0.026960392,0.01005294,0.006125357,0.003791276,0.454548611,0.233443709,0.004016066,0.001744726,0.029069767,0.000727718,0.002768236,0.026764828,0.121565861,0.986782782,0.017692174,0.001736647,0.001659427,0.003618774,0.29136164,0.382675439,0.401408451,0.570771001,0.002387387
1,Albania,0.001679707,0.001544371,0.002143973,0.01327835,0.02699424,0.335780427,0.716887417,0.019852167,0.037425283,0.00087093,0.000995191,0.004976652,0.001564255,0.075578144,0.5038562,0.002313412,0.019593751,0.02364285,0.001334407,0.932650073,0.944078947,0.899061033,0.077100115,0.004789035
2,Algeria,0.139295786,0.013523242,0.03511277,0.001852641,0.035856859,0.156611736,0.660596026,0.000597832,0.006011457,0.007252907,0.001781728,0.041405573,0.011064462,0.040679151,0.5953537,0.035469805,0.046521287,0.009969837,0.028554275,0.778916545,0.804824561,0.67370892,0.225546605,0.009868323
3,Andorra,2.57E-05,1.09E-05,9.08E-05,0.023150588,0.251984161,0.010381309,0.84602649,0.007334531,0.037267984,0.022984565,0.01702681,0.035075165,0.029122166,0.08520412,0.532124372,0.021077952,0.101144359,0.017080962,0.037014052,1,1,1,0.01726122,0.050288757
4,Angola,0.072912268,0.011256534,0.020851328,0.002445305,0.032810821,0.108198406,0.329470199,0.011322121,0.010180394,0.000213227,0.001028679,0.004360864,0.0009209,0.003437386,0.208926188,0.000596243,0.41767473,0.002351703,0.04153533,0.235724744,0.221491228,0.394366197,0.620253165,0.011224178
5,Antigua and Barbuda,2.40E-05,8.35E-05,2.52E-05,0.027165067,0.080851488,0.03344196,0.710264901,0.001101784,0.001502943,2.62E-06,1.07E-05,7.68E-05,8.54E-06,0.022145531,0.157332733,0.00272645,0.272575118,0.025750107,0.008856444,0.969253294,0.976973684,0.950704225,0.055235903,5.97E-06
6,Argentina,0.162611664,0.004328802,0.052030571,0.001762164,0.0901525,0.103038383,0.802980132,0.040199197,0.08526877,0.04059593,0.017173278,0.080226727,0.04963896,0.168956991,0.743110509,0.003371405,0.037733378,0.001927879,0.005922591,0.979502196,0.958333333,0.971830986,0.092059839,0.156343403
7,Armenia,0.001737608,0.001226854,0.002464224,0.01269439,0.023476812,0.320471371,0.660596026,0.005159878,0.013013128,0.003063953,0.000996909,0.008215544,0.003858107,0.190647218,0.720476804,0.019170537,0.007229197,0.00585547,0.001373507,0.995607613,0.993421053,0.995305164,0.120828539,0.001648129
8,Australia,0.452748298,0.003858236,0.026432836,0.000153754,0.458125913,0.040254076,0.983443709,0.041149028,0.091908709,0.013934593,0.011540443,0.051337204,0.021043502,0.130177493,0.601577725,0.001995277,0.193146492,0.006193946,0.015975495,1,1,1,0.01726122,0.092437045
9,Austria,0.004904019,0.004226967,0.006595162,0.013278607,0.315697269,0.023578542,0.928807947,0.017506251,0.006772384,0.000112064,0.011570496,0.009854812,0.00458229,0.075675969,0.022192801,0.003108552,0.274993938,0.057078376,0.005099316,1,1,1,0.014959724,0.002528444
