Country Name,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,12039999.96,40430000.31,20909999.85,19290000.92,24329999.92,29979999.54,24969999.31,29979999.54,24860000.61,18260000.23,25799999.24,19530000.69,25069999.69,11260000.23,-7380000.114,11500000,-1700000.048,10489999.77,76220001.22,-11319999.69,,,,,,,,,,,,,,,,
Afghanistan,Net official development assistance and official aid received (current US$),17180000.31,34669998.17,16930000.31,36669998.17,46169998.17,53930000.31,50840000.15,41080001.83,29239999.77,27250000,27610000.61,44439998.63,55180000.31,55720001.22,48909999.85,66980003.36,70199996.95,82720001.22,74500000,99209999.08,28600000.38,22950000.76,9739999.771,13479999.54,6710000.038,16319999.69,2650000.095,46520000.46,73500000,149320007.3,122720001.2,508540008.5,204800003.1,223800003.1,226419998.2,212529998.8,169630004.9,230750000,164199996.9,142860000.6,136009994.5,410359985.4,1223290039,1538229980,2268530029,2815100098,2895830078,4982609863,4811209961,6113120117,6235319824,6745740234,6666770020,5152540039,4942970215,4274229980,4069419922,3811739990,3792449951,4284419922,
Angola,Net official development assistance and official aid received (current US$),-50000.00075,23549999.24,,29999.99933,,1110000.014,2859999.895,18180000.31,9999.999776,-109999.9994,-29999.99933,,90000.00358,159999.9964,370000.0048,4760000.229,17479999.54,47500000,46869998.93,47060001.37,52439998.63,60220001.22,59069999.69,73879997.25,93410003.66,90489997.86,130250000,134429992.7,157029998.8,167059997.6,265769989,277079986.6,343589996.3,289390014.6,447070007.3,416420013.4,459309997.6,354660003.7,335269989,387540008.5,302209991.5,282730011,414029998.8,493500000,1144569946,414679992.7,163520004.3,259980011,369040008.5,238940002.4,235169998.2,192940002.4,243610000.6,285540008.5,235389999.4,380059997.6,206529998.8,223220001.2,162660003.7,49540000.92,
Albania,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,5559999.943,10340000.15,11050000.19,331950012.2,409640014.6,270679992.7,163100006.1,180600006.1,226639999.4,168229995.7,268739990.2,488179992.7,317850006.1,268529998.8,307359985.4,349309997.6,300940002.4,315079986.6,324040008.5,308630004.9,364839996.3,357149993.9,365070007.3,379480011,349160003.7,269980011,281170013.4,335160003.7,171039993.3,168350006.1,344320007.3,28409999.85,
Andorra,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Net official development assistance and official aid received (current US$),409999.9964,540000.0215,430000.0072,389999.9857,579999.9833,19999.99955,1299999.952,1570000.052,1129999.995,870000.0048,5289999.962,5610000.134,4679999.828,759999.9905,589999.9738,4050000.191,1039999.962,34860000.61,1690000.057,7030000.21,4079999.924,330000.0131,4690000.057,4309999.943,3319999.933,4050000.191,34180000.31,114680000.3,-11970000.27,-5929999.828,3539999.962,-7659999.847,-9729999.542,-10170000.08,-8029999.733,5409999.847,6710000.038,1740000.01,3460000.038,3329999.924,3200000.048,2369999.886,3829999.924,4960000.038,5360000.134,,,,,,,,,,,,,,,,
Argentina,Net official development assistance and official aid received (current US$),44049999.24,54790000.92,55159999.85,27870000.84,-5289999.962,-57150001.53,-9279999.733,8979999.542,2720000.029,17579999.92,-2440000.057,4980000.019,1889999.986,13560000.42,15949999.81,12000000,14090000.15,16389999.39,16760000.23,28270000.46,43680000.31,36830001.83,29489999.77,34419998.17,32740001.68,39080001.83,73669998.17,83389999.39,142479995.7,201610000.6,171630004.9,277769989,266730011,245949996.9,160919998.2,148179992.7,122440002.4,99260002.14,73959999.08,82379997.25,74559997.56,157639999.4,98989997.86,117720001.2,97339996.34,93870002.75,114209999.1,90230003.36,125019996.6,116029998.8,130309997.6,97050003.05,177759994.5,34729999.54,48790000.92,-18870000.84,2619999.886,-1169999.957,73110000.61,18250000,
Armenia,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2720000.029,22450000.76,109459999.1,191270004.3,217710006.7,292279998.8,166270004.3,194259994.5,209240005.5,215889999.4,211470001.2,295220001.2,250399993.9,256119995.1,172619995.1,215389999.4,351899993.9,296029998.8,405600006.1,320320007.3,375989990.2,270559997.6,280359985.4,267429992.7,347480011,326429992.7,257540008.5,141619995.1,419730011,
American Samoa,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,9999.999776,3000000,2059999.943,3109999.895,5380000.114,3599999.905,3279999.971,5500000,9039999.962,4949999.809,3369999.886,2359999.895,2950000.048,5050000.191,5559999.943,8449999.809,4340000.153,4610000.134,7230000.019,4670000.076,3000000,4159999.847,2269999.981,3869999.886,4349999.905,9979999.542,10840000.15,9880000.114,8579999.924,13510000.23,5630000.114,1899999.976,8060000.42,3279999.971,4989999.771,6070000.172,4260000.229,19659999.85,15420000.08,2089999.914,1590000.033,2549999.952,1490000.01,180000.0072,10300000.19,17590000.15,27440000.53,
Australia,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000.0119,7429999.828,23870000.84,149039993.3,119540000.9,96360000.61,184059997.6,120360000.6,171000000,140610000.6,230910003.7,350809997.6,302029998.8,175830001.8,210399993.9,203850006.1,213309997.6,225100006.1,217580001.8,156479995.7,287769989,286790008.5,-70830001.83,216740005.5,69580001.83,79430000.31,123529998.8,87410003.66,120980003.4,
Burundi,Net official development assistance and official aid received (current US$),7530000.21,7190000.057,11069999.69,6159999.847,8090000.153,4860000.134,8930000.305,10409999.85,12970000.27,14930000.31,17670000.08,21680000.31,25760000.23,26860000.61,37349998.47,47470001.22,43799999.24,47639999.39,73910003.66,94339996.34,115949996.9,120650001.5,125400001.5,137610000.6,137669998.2,137160003.7,191309997.6,196619995.1,200500000,206240005.5,262549987.8,256399993.9,309279998.8,216949996.9,311109985.4,286950012.2,110519996.6,56400001.53,68750000,75099998.47,93309997.56,139250000,171910003.7,227600006.1,358820007.3,365579986.6,432019989,504549987.8,520429992.7,575750000,627609985.4,572239990.2,524169982.9,558830017.1,515400024.4,366559997.6,742640014.6,435820007.3,451079986.6,588940002.4,
