,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007,2012,2017,
Afghanistan,1.2,1.459,2.009,2.009,2.009,2.009,2.009,2.009,2.009,2.009,2.009,2.009,
Albania,0.14,0.38,0.38,0.88,3.58,4.03,4.03,4.03,4.03,4.03,4.03,4.03,
Algeria,1.06675,1.43775,1.80575,1.83675,2.07175,3.77425,4.56575,4.72275,5.45625,7.85625,8.30425,8.61925,
Andorra,,,,,,,,,,,,,
Angola,0.1419,0.1626,0.1856,4.32165,4.32165,4.32165,4.47021,4.47021,4.47021,9.44521,9.44521,9.44521,
Antigua and Barbuda,0.001,3.42E-04,0.005021,0.005021,0.005021,0.005021,0.005021,0.005021,0.005021,0.005021,0.005021,0.005021,
Argentina,2.86008,6.92578,7.27072,93.760205,98.364465,102.570465,107.798465,130.717865,131.540865,131.563865,131.563865,131.563865,
Armenia,,,,,,,1.36091,1.38691,1.38691,1.38691,1.38691,1.38691,
Australia,20.6505,24.0815,44.9351,60.6461,69.6859,76.5537,77.7863,77.7863,77.7863,77.7863,77.7863,77.7863,
Austria,0.4495,0.757,1.45,1.838,1.9345,2.1115,2.1277,2.1277,2.1277,2.1277,2.1277,2.1277,
Azerbaijan,,,,,,,21.3844,21.3844,21.5424,21.5424,21.5424,21.5424,
Bahamas,,,,,,,,,,,,,
Bahrain,,,,,,,,0,0,0,0,0,
Bangladesh,6.477,6.477,6.477,6.477,6.477,6.477,6.477,6.477,6.477,6.477,6.477,6.477,
Barbados,,,,,,,,,,,,,
Belarus,,,,,,,1.3356,1.3356,1.3356,1.3356,3.1,3.1,
Belgium,0.036,0.036,0.063,0.063,0.1443,0.1443,0.1443,0.1443,0.1443,0.1443,0.1443,0.1443,
Belize,0,0,0,0,0,0,0,0.0017,0.0017,0.1217,0.1217,0.1217,
Benin,0,0,0,0,0.0235,0.0235,0.0235,0.0235,0.0235,0.0235,0.0235,0.0235,
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,
Bolivia (Plurinational State of),0.2795695,0.2795695,0.2808252,0.2897287,0.2944035,0.3576875,0.529903,0.558432,0.561162,0.5824083,0.5906053,0.5950653,
Bosnia and Herzegovina,,,,,,,2.9124,2.9124,2.9124,2.9124,2.9124,2.9124,
Botswana,0.2175,0.2198,0.3048,0.3048,0.3048,0.4488,0.452705,0.453705,0.553705,0.579705,1.109705,1.109705,
Brazil,403.4658,426.4158,426.4158,458.5337,499.1256,581.6255,601.5878,601.5878,697.1728,699.9449,700.4359,700.4359,
Brunei Darussalam,0.045013,0.045013,0.045013,0.045013,0.045013,0.045013,0.045013,0.045013,0.045013,0.045013,0.045013,0.045013,
Bulgaria,1.9126,2.6083,3.5618,5.365,5.9424,6.4734,6.4824,6.5184,6.5184,6.5184,6.5184,6.5184,
Burkina Faso,0.160587125,0.224329125,0.230504125,0.858187125,0.914920125,3.075494125,4.842169125,4.981952725,5.198027725,5.329571725,5.337571725,5.337571725,
Burundi,,,,,,,,,,,,,
Cabo Verde,,,,,,0,0,0,0,0,0,0,
Cambodia,,,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,
Cameroon,0.006573,0.006573,2.611573,4.490573,4.505623,12.310623,15.610623,15.610623,15.610623,15.610623,15.610623,15.610623,
Canada,210.2293,311.8768,571.3968,681.1702,827.3901,833.9895,836.1269,840.1999,840.8069,840.8069,841.5057,841.5057,
Central African Republic,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,
Chile,7.67796,7.93548,8.87928,9.66498,9.66498,11.30544,11.30544,11.79144,12.04184,13.21584,13.21584,13.21584,
China,156.062084,181.775845,224.434825,268.376785,282.718655,296.950255,343.112095,489.0904,525.35036,602.875,674.538,830.46,
Colombia,1.58602,3.63495,4.76027,5.47505,6.56905,7.57228,8.83016,8.83016,11.11196,11.11233,11.28233,11.28233,
Comoros,,,,,,,,,,,,,
Congo,0.0085,0.0085,0.0085,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,
Cook Islands,,,,,,,,,,,,,
Costa Rica,5.00E-04,0.0369,0.0369,0.0369,1.94798,1.94864,1.95344,1.95367,1.96667,1.96667,1.99667,1.99667,
Côte d'Ivoire,0.9253,0.9971,28.6721,28.8009,37.2439,37.2439,37.2439,37.2439,37.2439,37.2439,37.2439,37.2439,
Croatia,,,,,,,0.962,0.962,0.962,0.962,0.962,0.962,
Cuba,0.0418,0.52139,1.11811,3.516278,4.065653,4.332753,4.993383,5.032135,5.032135,5.032135,9.384,5.662135,
Cyprus,0.010176,0.015756,0.029356,0.043206,0.094206,0.158606,0.273606,0.273606,0.280706,0.298706,0.298706,0.333706,
Czechia,,,,,,,,3.1843,3.1843,3.1843,3.1843,3.1843,
Democratic People's Republic of Korea,17.128,17.157,17.176116,17.832366,17.846366,17.846366,17.846366,17.846366,17.846366,21.226366,21.226366,21.226366,
