Area,Variable Name,Year,Value
Afghanistan,Agricultural water withdrawal,1987,25.85
Afghanistan,Agricultural water withdrawal,1992,23.19090909
Afghanistan,Agricultural water withdrawal,1997,20.53181818
Afghanistan,Agricultural water withdrawal,2002,20
Afghanistan,Agricultural water withdrawal,2007,20
Afghanistan,Agricultural water withdrawal,2012,20
Afghanistan,Agricultural water withdrawal,2017,20
Afghanistan,"Agriculture, value added (% GDP)",1977,50.253914
Afghanistan,"Agriculture, value added (% GDP)",1982,50.387991
Afghanistan,"Agriculture, value added (% GDP)",1987,47.258874
Afghanistan,"Agriculture, value added (% GDP)",1992,55.445231
Afghanistan,"Agriculture, value added (% GDP)",1997,62.063515
Afghanistan,"Agriculture, value added (% GDP)",2002,43.166444
Afghanistan,"Agriculture, value added (% GDP)",2007,33.617103
Afghanistan,"Agriculture, value added (% GDP)",2012,25.393068
Afghanistan,"Agriculture, value added (% GDP)",2017,23.658185
Afghanistan,GDP per capita,1977,226.005343
Afghanistan,GDP per capita,1982,269.723949
Afghanistan,GDP per capita,1987,251.026688
Afghanistan,GDP per capita,1992,248.51889
Afghanistan,GDP per capita,1997,164.092893
Afghanistan,GDP per capita,2002,194.958382
Afghanistan,GDP per capita,2007,389.985586
Afghanistan,GDP per capita,2012,694.885618
Afghanistan,GDP per capita,2017,605.557362
Afghanistan,Industrial water withdrawal,1987,0
Afghanistan,Industrial water withdrawal,1992,0.049423077
Afghanistan,Industrial water withdrawal,1997,0.098846154
Afghanistan,Industrial water withdrawal,2002,0.1449
Afghanistan,Industrial water withdrawal,2007,0.1695
Afghanistan,Industrial water withdrawal,2012,0.1695
Afghanistan,Industrial water withdrawal,2017,0.1695
Afghanistan,National Rainfall Index (NRI),1977,301
Afghanistan,National Rainfall Index (NRI),1982,304
Afghanistan,National Rainfall Index (NRI),1987,302.15
Afghanistan,National Rainfall Index (NRI),1992,304.98
Afghanistan,National Rainfall Index (NRI),1997,233
Afghanistan,National Rainfall Index (NRI),2002,185
Afghanistan,National Rainfall Index (NRI),2007,185
Afghanistan,National Rainfall Index (NRI),2012,185
Afghanistan,National Rainfall Index (NRI),2017,185
Afghanistan,Population density,1977,20.17477867
Afghanistan,Population density,1982,19.73245106
Afghanistan,Population density,1987,17.77491958
Afghanistan,Population density,1992,22.18782894
Afghanistan,Population density,1997,29.64973501
Afghanistan,Population density,2002,34.61809576
