Area,Population density,GDP per capita,"Agriculture, value added (% GDP)",Total renewable water resources per capita,Total population with access to safe drinking-water (JMP),SDG 6.4.2. Water Stress,Agricultural water withdrawal,Industrial water withdrawal,National Rainfall Index (NRI),latitude,Poplulation ages 65 and above
Equatorial Guinea,0.036983862,0.194578718,0.110532962,0,0.133069118,0.00222193,0.001710303,0.01011637,0.83707436,0.401945143,0.631685891
Saudi Arabia,0.012316642,0.234848091,0.180970208,0.01106993,0.812481261,0.220358864,0.028275195,0.01709201,0.028457233,0.611980311,0.071949083
Yemen,0.046641231,0.013480052,0.282226591,0.011066273,0.152157098,0.041534916,0.006186607,0.010516892,0.069220423,0.533263999,0.151337278
Costa Rica,0.088871212,0.122605063,0.17057094,0.041808431,0.815716341,0.003845596,0.005970571,0.012730768,0.955945819,0.478440674,0.638060991
Comoros,0.392605009,0.014423132,0.471569506,0.012531905,0.688678984,0.002352352,0.001714827,0.010098501,0.750036415,0.274178968,0.382104765
New Zealand,0.013515377,0.502435488,0.190700482,0.147734649,0.819631695,0.003949762,0.007090984,0.018525058,0.370041085,0,0.055204383
Switzerland,0.170293669,1,0.147344026,0.024474731,0.819631695,0.003665893,0.001998925,0.013577492,0.553424822,0.828601305,0.019558542
Cuba,0.088706272,0.083185095,0.156960889,0.018060327,0.783335307,0.007757356,0.008364761,0.015338156,0.344877237,0.589648765,0.496388648
Uzbekistan,0.062512861,0.022885884,0.435204627,0.013895712,0.634058035,0.036609437,0.066029193,0.021826077,0.04705978,0.777207863,0.909322955
Kyrgyzstan,0.025202523,0.014222475,0.185156487,0.018691723,0.760480626,0.01095313,0.008990036,0.01203385,0.1187049,0.775572741,0.294965355
Mozambique,0.029240116,0.003026287,0.339807409,0.021295974,0.258095888,0.00262497,0.003315606,0.010283841,0.339516493,0.210033279,0.064587142
Russian Federation,0.005108806,0.176683151,0.161837697,0.081839198,0.795550001,0.002826241,0.023531341,0.144179576,0.162499691,0.967513888,0.557742039
Colombia,0.037291148,0.078899636,0.171406987,0.089023857,0.72007992,0.002704754,0.011916716,0.039289266,0.980655872,0.429528724,0.056416366
Tajikistan,0.054423118,0.00959242,0.313764711,0.015505212,0.578678707,0.016231169,0.014737547,0.011871374,0.078972299,0.75343673,0.293415731
Italy,0.164278323,0.463790801,0.150490364,0.018055734,0.819631695,0.008063353,0.01813993,0.056048311,0.272439903,0.781878019,1
Nepal,0.177339138,0.006817835,0.332076346,0.022150434,0.826945898,0.003953749,0.013714564,0.010261966,0.59966548,0.654572814,0.696095562
Honduras,0.075537382,0.02448572,0.223333935,0.020922538,0.786734157,0.003166016,0.003226243,0.010819448,0.510190783,0.529932356,0.245489122
Liberia,0.034409756,0.001378307,1,0.079824278,0.5853983,0.002233039,0.001684905,0.010477929,0.847630593,0.447072037,0.474325902
Mali,0.011065077,0.007757495,0.336577572,0.019556521,0.739419852,0.004492566,0.010536247,0.010092167,0.186826219,0.552326246,0.06175837
Azerbaijan,0.097945122,0.07931599,0.097992935,0.018125075,0.735396159,0.012320487,0.012065752,0.024247456,0.1363697,0.765547586,0.097008043
United Republic of Tanzania,0.049184019,0.007327395,0.415035481,0.012584282,0.239589921,0.005603607,0.009179415,0.010232974,0.392344858,0.326189241,0.695728341
Sierra Leone,0.087845584,0.003496199,0.728406909,0.044753814,0.441119781,0.002259663,0.001639913,0.010499495,0.874121141,0.466271253,0.079498535
Central African Republic,0.005236128,0.002775953,0.511475092,0.051186431,0.458907682,0.002270239,0.001709288,0.010181147,0.445638077,0.448800675,0.044982724
Kenya,0.076709452,0.012702918,0.378604609,0.011443625,0.432450069,0.010097385,0.005819306,0.011604387,0.305702032,0.386128579,0.118108738
Australia,0.001012483,0.745257462,0.16306835,0.048438072,0.819631695,0.003193544,0.010313524,0.026162047,0.235609711,0.147606781,0.596377828
Indonesia,0.121071731,0.039955874,0.226048614,0.023774389,0.73711196,0.009838363,0.297076651,0.116862753,1,0.378895693,0.075817553
Hungary,0.082891266,0.177931145,0.13311293,0.035203819,0.843098622,0.004108387,0.001724029,0.034594834,0.19471831,0.8318536,0.077291074
Israel,0.337402766,0.465018071,0.144791342,0.011340449,0.819631695,0.023677864,0.003091763,0.010706671,0.122373197,0.679616337,0.129057643
Denmark,0.111693643,0.759485924,0.148604792,0.013353535,0.819631695,0.004564306,0.001825298,0.010346724,0.237645191,0.917826413,0.230595255
India,0.371043122,0.017712704,0.238747332,0.013247899,0.855315836,0.01900574,1,0.100058636,0.487345462,0.580881832,0.176566923
Japan,0.287882998,0.562815906,0.146612971,0.018214723,0.819631695,0.009912681,0.069949965,0.063346798,0.535233711,0.728345977,0.057418568
Malawi,0.130403789,0.002057399,0.320465132,0.011991459,0.904703716,0.006331855,0.003360245,0.010405966,0.371895118,0.26114995,0.173528154
Gambia,0.174089314,0.004879536,0.344894694,0.012238614,0.768893346,0.002812618,0.001771227,0.010258907,0.179647966,0.513337433,0.08169555
Austria,0.085560219,0.626301823,0.148297982,0.030381259,0.819631695,0.004251276,0.001776119,0.024774322,0.394282318,0.835194689,0.644054708
Latvia,0.020279329,0.223001219,0.127031942,0.054002293,0.814081164,0.002326033,0.001785724,0.010197348,0.195428201,0.923642382,0.302544291
Chile,0.01997042,0.179834341,0.173011303,0.102052836,0.851617162,0.004533502,0.039606882,0.041856369,0.913066766,0.04936064,0.32137607
Zambia,0.017925995,0.014901247,0.221428776,0.016923055,0.433873605,0.002748017,0.003067113,0.010858259,0.354037129,0.262287262,0.037650303
Slovenia,0.083071984,0.332361286,0.147518595,0.045040995,0.812660148,0.003554765,0.001712928,0.014412417,0.327333813,0.822300751,0.069258639
Germany,0.190156538,0.572052037,0.14921642,0.015166825,0.819631695,0.007078965,0.001213574,0.07262749,0.293388893,0.869668262,0.724119852
Somalia,0.018115628,0,0.630619399,0.012284912,0,0.009307568,0.007443433,0.010112147,0.126389021,0.435018802,0.21565845
Namibia,0.000917467,0.06028639,0.221740112,0.032432001,0.801322251,0.002386115,0.002004306,0.010186088,0.10307902,0.169491525,0.05113673
South Africa,0.040874228,0.07815056,0.15724767,0.012394928,0.780921595,0.014623984,0.015895128,0.029585792,0.174997925,0.097683153,0.586880463
Cyprus,0.11375734,0.380722815,0.131650952,0.012180006,0.819631695,0.008687718,0.001939412,0.010169668,0.09040741,0.718159294,0.655987454
Uganda,0.147127414,0.005292151,0.301764124,0.011951969,0.727978655,0.003597228,0.00206456,0.010417356,0.481043957,0.399323848,0.047734256
Lao People's Democratic Republic,0.025104782,0.020283857,0.276327651,0.078740207,0.725028282,0.00356313,0.014107415,0.011200119,0.690397867,0.573916272,0.124442129
Afghanistan,0.046578786,0.004826121,0.360926125,0.012999618,0.403755112,0.014871278,0.024056686,0.011445376,0.039092682,0.706943929,0.654794119
Iceland,0.001105473,0.811435075,0.178298465,1,0.819631695,0.00226854,0.001737802,0.01129691,0.30539865,1,0.08955722
Cambodia,0.079770531,0.011731469,0.346350111,0.04958262,0.750135425,0.002396002,0.004353396,0.010344881,0.838199029,0.505048473,0.636693619
Belgium,0.32130995,0.576083855,0.147611383,0.014569747,0.819631695,0.011187675,0.001612265,0.024797782,0.387480439,0.863416827,0.687829637
Angola,0.019134071,0.049153617,0.186675888,0.012996151,0.150438777,0.00263586,0.001765617,0.011881474,0.391473094,0.280529587,0.115614132
Burundi,0.3299298,0.000818652,0.423762474,0.01259118,0.534808604,0.005023266,0.002090251,0.010215157,0.33440377,0.354488838,0.050988225
Congo,0.011537226,0.030299078,0.171439964,0.160679997,0.560054321,0.002179613,0.001713684,0.010255143,0.563891566,0.348205287,0.317520525
Oman,0.010438508,0.228956123,0.15957543,0.011138508,0.817958725,0.029256021,0.003965672,0.011026748,0,0.589561861,0
Thailand,0.121045703,0.072360573,0.179763643,0.022648742,0.843816689,0.007116841,0.068423358,0.028954184,0.605279807,0.536261249,0.11422637
Republic of Moldova,0.093345141,0.028734532,0.14460353,0.01800735,0.686985858,0.003002547,0.001305213,0.013194882,0.176954742,0.834206626,0.32100263
Slovakia,0.089768639,0.268903544,0.171103321,0.031529185,0.820954449,0.002326447,0.001717744,0.009894875,0.262696539,0.846084163,0.079356534
Egypt,0.084060591,0.028351414,0.208543026,0.011893576,0.839855984,0.031345337,0.086744402,0.028352923,0.029118538,0.639701805,0.679616808
Ecuador,0.058610744,0.062863608,0.206711411,0.048492684,0.70994384,0.003663167,0.012112074,0.013431931,0.903019689,0.369053793,0.149865749
Gabon,0.004886395,0.088948902,0.192727855,0.099484243,0.810584053,0.00231003,0.00178287,0.010174496,0.610826401,0.378759669,0.044258198
Jordan,0.092507817,0.042716371,0.173606385,0.011053436,0.781266771,0.026649802,0.002502315,0.010323689,0.029876202,0.675262625,0.057152793
Mongolia,0,0.040901648,0.285839976,0.030301047,0.41433211,0.002941949,0.002050341,0.011088127,0.050755017,0.829019768,0.11786357
Bangladesh,1,0.011280095,0.220214792,0.021922857,0.732622153,0.003402746,0.042286286,0.015570986,0.756159455,0.610082587,0.091120935
Viet Nam,0.259458902,0.0209675,0.213895775,0.026524844,0.948541065,0.006912576,0.124584772,0.02872159,0.723908798,0.519147734,0.306623492
Kuwait,0.181820751,0.489321348,0.151676877,0.011057977,0.806404148,1,0.002880243,0.010235973,0.010172791,0.663233006,0.048356112
Ethiopia,0.089975302,0.007600914,0.434497439,0.012770312,0.458043482,0.011058551,0.017579316,0.010483497,0.357817174,0.472736169,0.084151537
Greece,0.069861339,0.286872494,0.15453641,0.024168927,0.833776351,0.007659653,0.01544133,0.011423087,0.182952547,0.755450641,0.12518384
Romania,0.066168119,0.110306575,0.174086507,0.035003323,0.953950501,0.00265997,0,0.025795197,0.21846731,0.82033596,0.016340002
Iraq,0.07344093,0.057976384,0.164817237,0.013615083,0.69053084,0.017546337,0.055309576,0.044924805,0.06361844,0.70018146,0.44072348
Botswana,0.00180011,0.08985506,0.105246403,0.016701337,0.787583239,0.002721554,0.001812318,0.010276646,0.136843032,0.175434072,0.253806217
Eritrea,0.026371165,0.012499886,0.340017952,0.014432695,0.32111192,0.004810244,0.002531144,0.009989407,0.101207674,0.529737767,0.561126975
Belarus,0.034135582,0.086032041,0.158052829,0.025247093,0.816754388,0.003010614,0.002244654,0.012112271,0.208853802,0.893700107,0.135155347
Fiji,0.041291394,0.060088141,0.206925364,0.073422353,0.817777319,0.002256612,0.001792524,0.010156959,0.756852023,0.22975203,0.708493192
Bolivia (Plurinational State of),0.007449759,0.030765081,0.215031032,0.089223526,0.791579218,0.002473076,0.004691065,0.010198967,0.470182192,0.232472509,0.184854935
Sri Lanka,0.284299497,0.040714333,0.180453594,0.015870626,0.892468865,0.023526192,0.017086764,0.016258971,0.550063188,0.460721664,0.226562108
Poland,0.102322094,0.163141703,0.125158452,0.014446471,0.817424584,0.009194542,0.002820046,0.044700106,0.201206687,0.876787794,0.844678484
