,Area,Agricultural water withdrawal,"Agriculture, value added (% GDP)_x","Agriculture, value added (% GDP)_y",GDP per capita,Industrial water withdrawal,National Rainfall Index (NRI),Population density,SDG 6.4.2. Water Stress,Total renewable water resources per capita,Total population with access to safe drinking-water (JMP),Poplulation ages 65 and above,latitude
0,Liberia,,0.0016849048749768547,1.0,0.0013783066833067312,0.010477929099342644,0.847630592993187,0.03440975593646249,0.0022330394040696697,0.07982427806742674,0.5853983003232591,0.47432590170754513,0.44707203696829034
1,Sweden,,0.0018159322529165277,0.14324839991096264,0.7084610084115605,0.01454905331354004,0.24580231337830558,0.01664669609063374,0.0027669205383214833,0.049416665957854294,0.8196316947132629,0.4394673445537829,0.9543290098494573
2,Mauritania,,0.00335479732022408,0.27136619267599604,0.014848068406441494,0.01027273542777097,0.06232617268316174,0.0018973963479559297,0.0051294861550260475,0.013842528731162585,0.4116034557910255,0.22701046382395748,0.584794410170814
3,Ireland,,0.001962303944911654,0.1080220880855123,0.8126034578859321,0.009302365672722863,0.4197344820154959,0.05630401539272772,0.0028029276255286248,0.03334057093269166,0.798853108725392,0.7184859422790276,0.8908955572117734
4,Botswana,,0.0018123175887521195,0.10524640321525859,0.08985506041913308,0.010276646264462098,0.1368430317127247,0.0018001097245908652,0.002721553524494504,0.01670133689015429,0.7875832390608173,0.2538062172487758,0.17543407230240393
5,Gabon,,0.0017828695956358751,0.1927278554926228,0.08894890213139374,0.010174495903811056,0.61082640087922,0.004886394704727719,0.002310029779637615,0.09948424325506976,0.8105840528698719,0.04425819757256899,0.378759669272848
6,Jordan,,0.00250231493642262,0.17360638548541543,0.042716371261185666,0.010323689493904735,0.029876202139798917,0.09250781674413018,0.02664980245320158,0.011053435713704223,0.7812667706393805,0.057152793469905955,0.6752626254325137
7,Greece,,0.015441329612537904,0.1545364102341479,0.2868724940986502,0.011423086737618484,0.18295254699614236,0.06986133918252807,0.0076596526560476766,0.02416892720147685,0.8337763511623848,0.1251838397358151,0.7554506407767724
8,United Arab Emirates,,0.007321415215354538,0.1588795800648386,0.43428698749322314,0.010365855363761146,0.013549811367693955,0.11001850727432914,0.47378718244412277,0.010951153243980022,0.8136074920823664,0.3617972270098618,0.6076180976104179
9,Bhutan,,0.002118412438883658,0.22731028511120788,0.030539454879953763,0.010114466983738659,0.8506019541611746,0.016492424823212927,0.002477039925395092,0.13697951211275422,0.9720961756013465,0.3699565574135804,0.6462536261249134
10,Lebanon,,0.0027205065065834056,0.1836112517603499,0.10929901026420989,0.014436893199670866,0.15879298295453803,0.5397875399003784,0.014986564294880716,0.012008120958393289,0.9244996837986481,0.07915722937060511,0.7061466772840927
11,Mexico,,0.09002079767187725,0.15691069480168954,0.12505586380319186,0.048347360241221674,0.33988336262718033,0.05569282863844121,0.009754330716123541,0.01706029902417067,0.8354997115135037,0.2627426026860867,0.60960555884595
12,Tunisia,,0.006361459947825928,0.21785497159184883,0.04640725350946287,0.014815658212310453,0.1024270125454241,0.06255414310468302,0.02702648189584098,0.011697495781813626,0.8646683413160507,0.4561161181325132,0.7064508419788842
13,Democratic Republic of the Congo,,0.0017969313540795123,0.3497336947235111,0.0016131156947444515,0.011102733784110867,0.5308204598683992,0.028465096158440215,0.002228855436215182,0.023985443734625342,0.23115704499129436,0.8864841886081091,0.384197793955813
14,Central African Republic,,0.0017092880466102916,0.5114750916553072,0.0027759534629197163,0.010181147278371947,0.44563807736252753,0.005236128033849813,0.0022702386196003597,0.051186430630050746,0.45890768180318053,0.044982724024393454,0.44880067482999364
15,Sierra Leone,,0.0016399133799041119,0.7284069092306042,0.0034961987692656935,0.010499494723007272,0.8741211413323738,0.08784558373809596,0.0022596634861856146,0.04475381425473052,0.44111978110299993,0.07949853540731953,0.4662712525634377
16,Georgia,,0.0025037135872263546,0.0,0.055505031305598036,0.011855107669887425,0.3588753901005546,0.03863445979255991,0.0029865509285214426,0.05013194475916444,0.89444669802645,0.034641484871632995,0.786067367756842
17,Cyprus,,0.0019394116704042326,0.13165095174890654,0.3807228145490296,0.010169667519570748,0.09040740950362132,0.11375733975977609,0.00868771848471269,0.012180005577562669,0.8196316947132629,0.6559874536091781,0.7181592935066504
18,Trinidad and Tobago,,0.0017308332036091723,0.13809052307497255,0.2084058801097824,0.010903663419932898,0.5987266209418098,0.23186593393505717,0.006777554551613248,0.016744468333264893,0.7749402240872348,0.06925863863726399,0.48734740992427056
19,Mongolia,,0.002050340513538772,0.285839976053755,0.04090164772624591,0.011088127271067361,0.05075501655965688,0.0,0.0029419487216276008,0.030301047486779642,0.41433210968029494,0.11786356953536944,0.8290197678713289
20,Ecuador,,0.012112074388684578,0.20671141078532262,0.06286360828499789,0.01343193118463803,0.9030196893312167,0.05861074414963479,0.0036631667288174272,0.04849268375184412,0.7099438396166299,0.1498657490706426,0.369053792754268
21,Latvia,,0.0017857242312433095,0.12703194195293024,0.22300121947779958,0.010197348384514311,0.1954282011108368,0.02027932925085632,0.002326033444795081,0.05400229347753525,0.8140811642256573,0.3025442908022567,0.923642381666237
