,Area,Agricultural water withdrawal,"Agriculture, value added (% GDP)",GDP per capita,Industrial water withdrawal,National Rainfall Index (NRI),Population density,SDG 6.4.2. Water Stress,Total renewable water resources per capita,Total population with access to safe drinking-water (JMP),Poplulation ages 65 and above,latitude
0,Pakistan,0.20615479194870334,0.40087920417353934,0.014383379704819586,0.0403583717732779,0.045941135403217405,0.24891274171937,0.024899926657273187,0.2888744521013769,0.5106666360484087,0.5199145525518015,0.6732798872512485
1,Italy,0.0130671775930449,0.31628180422830127,0.4576589364624519,0.05286872839339054,0.27427966093059025,0.13101389544639191,0.008446324434934165,0.29645564742600167,0.5274186511125923,0.5576106800579411,0.7818780186220583
2,Ecuador,0.014659851653440858,0.32195117863927664,0.06254945553846895,0.037703149437804145,0.9398555130848623,0.060606514805408775,0.006734405077225629,0.2834831590304514,0.5618067834753283,0.46731597084218307,0.369053792754268
3,New Zealand,0.013007382336471487,0.34401068959070313,0.5158474857769626,0.04419448358604305,0.32581225555747345,0.012421519709926068,0.0074795036741313785,0.36461058413738373,0.5274186511125923,0.44164288276220587,0.0
4,Estonia,0.006447830237143312,0.3165018710626019,0.33810668661755705,0.03917642596473649,0.19707675996369134,0.012762137644890372,0.0071910494146746945,0.3131283536664005,0.5329873470043871,0.48471323711440434,0.9398490700778455
5,Afghanistan,0.019625360566303165,0.3519095324272054,0.004881264275968045,0.03635747640467409,0.020742665092010313,0.05024380129636257,0.01411385259252421,0.28746735678529617,0.574804234505241,0.873214651738089,0.7069439288443536
6,Yemen,0.010475121090841177,0.4025547123766043,0.014615496576528235,0.03527645111836699,0.0713781405477673,0.0509918469525832,0.03370998269755334,0.29034752580783096,0.0,0.45454311090741867,0.5332639988966945
7,Tunisia,0.01121561559190508,0.35180458240633056,0.04531224060580004,0.0407014366472533,0.10714988369995788,0.06057853597567774,0.02635412400278203,0.290731772185559,0.6766826647070984,0.6719298589595187,0.7064508419788842
8,Latvia,0.006557563528910949,0.26549866167118275,0.2620921758000506,0.03482023586549468,0.1933339812181198,0.008714387624249559,0.005717806416215395,0.3372732329928229,0.5334006935035717,0.5265665459381499,0.923642381666237
9,Sri Lanka,0.019569465513783777,0.3073334382470514,0.04386257629799598,0.04131556351641455,0.5232438546627809,0.2572547826825061,0.02110053001967189,0.2934412545940733,0.7982409810090251,0.4915854339722175,0.46072166379977275
10,Honduras,0.007675332796398176,0.32834318825512737,0.024065917993016852,0.035533113911035294,0.43136440488131117,0.07919371916021731,0.006379862557387103,0.27789218116207287,0.6514111190208275,0.5190042456905756,0.5299323564167888
11,Lao People's Democratic Republic,0.023622338728798296,0.3057642059356214,0.022547991232254053,0.035876915024503124,0.7527226551607783,0.02537056318946773,0.007263197826756342,0.27747218376142835,0.8610926125795291,0.48719256229504926,0.5739162715831773
12,Morocco,0.013974341412225626,0.37583359554359613,0.034618380609127426,0.03506530674819245,0.0839891133618656,0.0676161567747224,0.014335065586703619,0.29094533826103863,0.5433669368728057,0.4502807848528109,0.6866593553786614
13,Kazakhstan,0.008142803464116392,0.21867984969873425,0.17658044030068273,0.07180196376693469,0.11261732467289247,0.002866696259409705,0.008468572532799236,0.30107241328517576,0.45210921533056353,0.502391054883823,0.8399498600559021
14,Comoros,0.006487316563436712,0.5385119133586128,0.012866755387603533,0.03491262524683017,0.6741092224614665,0.4128034647844059,0.005873592378767202,0.2884965660217398,0.44216593565572926,0.596639221261351,0.2741789678615049
15,Nigeria,0.014099748692596524,0.519596705659562,0.012047731226993211,0.049092767583539615,0.4142280445727878,0.18934791035746898,0.007986842527289132,0.2888177227429429,0.5737479045628839,0.848904669926906,0.4721410644064018
16,Kenya,0.011366082756076161,0.44955436963289486,0.012517595589238114,0.036566302262334524,0.30839738913311865,0.08227818464979494,0.013165007204976329,0.2892011981704852,0.44106367832456733,0.48765425596853684,0.3861285785401417
