,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Area,48,45,71,70,50,53,54,29,29,28,31,28,13,25,43,38,31,20
Afghanistan,71,89,40,37,62,59,59,55,25,44,58,93,108,96,78,108,153,157
Albania,36,32,32,28,33,36,25,27,27,27,27,20,34,45,35,30,36,54
Algeria,18,30,25,22,26,29,25,10,7,6,5,8,10,38,39,71,72,73
Angola,22,22,28,37,42,37,108,122,127,95,51,65,67,64,43,44,44,48
Antigua and Barbuda,53,64,60,120,144,133,96,52,49,41,16,15,17,15,12,30,40,37
Argentina,49,92,108,101,69,75,105,115,66,47,38,76,90,87,46,41,43,23
Armenia,43,47,42,29,38,37,24,30,41,43,26,16,18,11,7,5,15,16
Australia,51,66,70,42,62,74,59,41,53,49,33,13,13,4,7,9,10,18
Austria,84,83,48,32,27,15,53,91,87,74,84,122,101,72,33,23,23,48
Azerbaijan,48,67,54,54,45,61,53,38,26,18,26,38,51,113,144,207,244,245
Bahamas,65,66,61,39,21,19,24,26,26,35,24,20,23,14,14,14,20,28
Bangladesh,69,75,75,56,50,28,48,48,55,56,25,25,12,9,13,20,22,30
Barbados,66,108,108,93,111,94,91,90,127,108,73,47,81,90,105,94,124,103
Belarus,NA,NA,NA,NA,NA,20,13,12,4,3,5,5,5,7,9,10,43,45
Belgium,57,30,31,40,49,32,21,16,16,36,37,43,43,44,39,39,12,16
Belize,45,52,34,42,42,52,37,32,49,39,39,36,29,13,15,10,18,18
Benin,53,52,40,40,40,56,43,47,77,102,85,55,49,68,71,NA,NA,NA
Bermuda,64,48,47,47,15,33,33,35,34,31,31,32,27,22,25,14,12,12
Bolivia (Plurinational State of),129,101,99,78,75,85,81,81,81,52,23,22,34,31,75,84,85,84
Bosnia and Herzegovina,50,55,41,35,29,43,35,39,42,46,40,12,10,28,28,51,46,41
Botswana,23,27,26,16,50,60,57,44,29,23,18,22,34,28,29,24,35,32
Brazil,51,63,31,40,59,65,39,22,36,43,41,34,18,27,33,NA,NA,NA
Brunei Darussalam,106,113,101,32,31,20,32,22,23,22,17,21,23,26,21,40,46,48
Bulgaria,50,43,28,28,51,61,52,37,30,30,37,27,27,19,17,22,21,30
Burkina Faso,16,14,13,19,35,76,84,79,42,32,34,50,51,27,22,19,15,16
Cabo Verde,78,51,62,63,48,34,24,21,18,17,13,20,18,16,16,16,19,20
Cambodia,17,23,22,15,12,13,12,13,13,18,16,15,19,17,24,31,33,34
Cameroon,86,68,24,28,30,24,36,44,45,40,27,25,22,21,30,25,14,37
Canada,29,29,30,33,30,35,27,20,33,52,58,70,64,58,72,114,133,115
Central African Republic,79,69,51,53,31,26,24,19,22,24,27,18,14,21,21,31,38,31
Chad,18,16,14,21,20,14,11,15,15,16,36,40,29,26,25,24,14,14
Chile,18,14,18,22,23,27,21,20,13,16,16,23,23,15,14,10,14,17
China,68,40,29,30,38,42,31,19,6,14,14,15,9,7,11,15,24,31
"China, Hong Kong SAR",110,94,56,24,38,72,89,80,65,30,15,15,23,21,37,54,54,72
"China, Macao SAR",18,14,18,22,23,28,22,21,13,16,17,24,23,15,15,11,14,18
"China, mainland",21,26,39,44,46,42,8,10,11,15,15,19,19,20,21,15,15,22
"China, Taiwan Province of",24,20,29,29,18,16,32,25,28,30,46,68,73,59,43,52,41,25
Colombia,53,79,88,77,50,22,110,114,105,94,33,31,18,16,17,53,81,83
Congo,35,35,31,22,30,29,27,45,48,38,23,23,15,15,18,31,35,29
Costa Rica,35,31,36,23,19,20,30,23,19,39,55,52,40,15,14,16,17,36
C<U+00F4>te d'Ivoire,95,86,59,67,75,77,27,35,33,25,35,77,81,75,45,36,38,69
Croatia,155,165,146,114,37,31,57,85,112,163,120,117,82,58,73,78,38,67
Cuba,38,12,19,20,18,10,16,20,31,42,43,41,22,21,22,18,26,23
Cyprus,97,132,100,86,81,90,58,31,30,29,22,12,12,8,15,26,55,55
Czechia,25,33,18,41,51,54,53,19,28,33,26,12,10,15,14,10,7,16
Democratic People's Republic of Korea,47,41,40,37,19,25,30,28,38,44,49,48,48,30,27,25,15,16
Denmark,26,17,32,38,38,40,27,32,46,44,21,34,43,36,22,21,42,37
Djibouti,25,68,73,71,55,54,46,31,54,60,62,52,33,29,29,15,16,17
Dominica,57,28,34,40,71,76,75,72,69,49,42,51,54,53,42,18,34,29
Dominican Republic,34,34,43,39,42,25,20,17,21,26,26,31,33,27,45,78,81,83
