,country,Total area of the country (excl. coastal water) (1000 ha),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Human Development Index (HDI) [highest = 1] (-),Total renewable water resources per capita (m3/inhab/yr),Dam capacity per capita (m3/inhab),Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Total water withdrawal (10^9 m3/yr),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Agricultural water withdrawal as % of total water withdrawal (%),SDG 6.4.2. Water Stress (%),SDG 6.4.1. Water Use Efficiency (US$/m3),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),Flood occurrence (WRI) (-),Total population with access to safe drinking-water (JMP) (%),Rural population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),"Mortality rate, infant (per 1,000 live births)",Resilience and securityStorage drought duration index(Total dam capacity_km3)
0,Afghanistan,0.038181167,0.029867419,0.010630264,0.006753895,0.003034231,0.286053285,0.206896552,0.003540469,0.001578856,0.029069767,0.000808298,0.002541613,0.026764828,0.114077541,0.986782782,0.014213729,0.000594481,0.002115932,0.000564235,0.755102041,0.345534407,0.418859649,0.557809331,0.565491184,0.002387387
1,Albania,0.001620052,0.001338431,0.002055176,0.012853709,0.026149895,0.229845651,0.717241379,0.020596551,0.039857215,0.001315407,0.001105389,0.003544152,0.001859145,0.099836181,0.640716382,0.00184704,0.005290446,0.021417682,0.000154692,0.551020408,0.928257687,0.947368421,0.896551724,0.088161209,0.004789035
2,Algeria,0.139295786,0.012986184,0.035294018,0.001938667,0.023778544,0.144295578,0.663793103,0.000554473,0.005940256,0.009696221,0.000910825,0.045320813,0.01374122,0.050420595,0.640944826,0.035811946,0.011595586,0.010852678,0.007101096,0.571428571,0.75988287,0.800438596,0.681541582,0.231738035,0.010242652
3,Andorra,2.57E-05,1.03E-05,7.23E-05,0.020391054,0.235686234,0.005555204,0.825862069,0.008062113,0.037034498,0.02321838,0.017546045,0.032869528,0.0292855,0.089683368,0.532361007,0.017892015,0.038222295,0.022992088,0.010387795,0.673469388,1,1,1,0.01511335,0.051617935
4,Angola,0.072912268,0.011777279,0.022891702,0.002762523,0.024073823,0.120944995,0.35,0.009789976,0.009035947,0.000213227,0.001142585,0.004003859,0.0009209,0.003151238,0.208926188,0.000479016,0.116532187,0.004352407,0.004217115,0.346938776,0.25329429,0.212719298,0.501014199,0.61209068,0.011224178
5,Antigua and Barbuda,2.40E-05,8.64E-05,2.17E-05,0.027074464,0.086023168,0.021411807,0.69137931,0.001071877,0.00150088,2.62E-06,1.19E-05,7.05E-05,8.54E-06,0.023132074,0.157332733,0.002190404,0.089806164,0.032817876,0.001867957,0.734693878,0.969253294,0.976973684,0.957403651,0.052896725,5.97E-06
6,Argentina,0.162611664,0.004107889,0.048157205,0.001740193,0.086788028,0.066011162,0.79137931,0.039228305,0.085413683,0.04059593,0.019074869,0.073658915,0.04963896,0.175679908,0.743110509,0.002708555,0.01099105,0.002076186,0.00065981,0.510204082,0.98682284,1,0.979716024,0.083123426,0.156343403
7,Armenia,0.001737608,0.001215956,0.00218463,0.012224856,0.023070776,0.181188097,0.663793103,0.005189421,0.013434342,0.00309157,0.000583691,0.007743229,0.003759289,0.199058987,0.746046732,0.015003252,0.002508489,0.005276213,0.000379806,0.673469388,1,1,1,0.11209068,0.001648129
8,Australia,0.452748298,0.003876038,0.024898423,0.000149309,0.348070932,0.031137787,0.972413793,0.039364964,0.09025312,0.015261628,0.012694325,0.042701112,0.021746529,0.137196559,0.637574251,0.00165795,0.059041638,0.008248167,0.002255255,0.551020408,1,1,1,0.018891688,0.092437045
9,Austria,0.004903961,0.004116777,0.006009501,0.012997507,0.287687099,0.014266449,0.929310345,0.017328683,0.006881281,0.000112064,0.012851693,0.009048041,0.00458229,0.079958842,0.022192801,0.002497382,0.082347436,0.05905519,0.000689072,0.673469388,1,1,1,0.01511335,0.002528444
