,country,Total area of the country (excl. coastal water) (1000 ha),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Human Development Index (HDI) [highest = 1] (-),National Rainfall Index (NRI) (mm/yr),Total renewable water resources per capita (m3/inhab/yr),Total exploitable water resources (10^9 m3/yr),Dam capacity per capita (m3/inhab),Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Total water withdrawal (10^9 m3/yr),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Capacity of the municipal wastewater treatment facilities (10^9 m3/yr),Agricultural water withdrawal as % of total water withdrawal (%),SDG 6.4.2. Water Stress (%),SDG 6.4.1. Water Use Efficiency (US$/m3),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),% of total cultivated area drained (%),Area salinized by irrigation (1000 ha),Flood occurrence (WRI) (-),Total population with access to safe drinking-water (JMP) (%),Rural population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),Population affected by water related disease (1000 inhabitants),"Mortality rate, infant (per 1,000 live births)",Net official development assistance and official aid received (current US$),nutrient security,population ages0-14,Population ages 65 and above (_ of total population),Resilience and securityStorage drought duration index(Total dam capacity_km3),Unnamed: 2
0,Afghanistan,65286,23280.663,7416.295,47.73056398,694.885618,25.393068,0.479,185,2096.505623,,64.47083723,20,0.1695,0.2034,20.3729,653.7869188,,98.1696273,54.75701944,0.765716181,0.103119779,23.07470076,,,,51.6,43.7,74.5,,51.3,4069419922,153,44.27211325,2.519922544,2.009,
1,Albania,2875,1333.585,1586.454,101.3598609,4219.046254,18.766799,0.771,1136,10363.41974,13,1382.933163,0.5992,0.2318,0.36439,1.19539,410.209547,,50.12590033,7.183834135,6.877122757,1.44437045,9.593241469,39.66954023,12,,95.4,94.9,95.7,,8.4,171039993.3,36,18.38369645,12.95621108,4.03,
2,Algeria,238174,11677.502,25888.345,15.69604365,5565.136948,8.770688,0.737,241.5,312.0862607,7.9,222.1344245,4.99,0.415,3.02,8.425,225.364425,0.27,59.22848665,109.7509498,16.09278932,0.610153776,170.2344498,0.724274954,,,84.9,82.2,86.1,,21.3,144550003.1,72,29.1344524,6.007981181,8.30425,
3,Andorra,47,9.371,73.06,175.3765957,38391.43234,0.612256,0.849,,3828.842491,,,,,,,,,,,,,,,,,100,100,100,,3.2,,,,,,
4,Angola,124670,9720.169,15375.981,20.13951311,5102.492352,6.06963,0.537,1137,5910.483026,,376.184322,0.1467,0.2396,0.3195,0.7058,28.11063962,,20.78492491,1.871883289,143.116159,0.145356863,246.8436518,,,,47.8,29,74.2,,55.6,206529998.8,44,47.05335243,2.261018458,9.44521,
5,Antigua and Barbuda,44,72.074,24.703,205.475,12399.10462,1.898847,0.767,,575.163977,,55.53650632,0.0018,0.0025,0.0072,0.0115,127.1997257,,15.65217391,8.461538462,93.45734013,1.572938265,53.98541666,16.16,,,97.9,97.9,97.9,,6.5,180000.0072,40,22.40735451,8.360574227,0.005021,
6,Argentina,278040,3737.979,38358.76,15.01769386,13811.78016,5.781744,0.823,1062,20985.17272,,3150.838162,27.93,4,5.85,37.78,904.797573,0.295,73.92800424,10.45666408,13.0852195,0.119498534,36.67094216,4.048682338,584,,98.6,96.2,98.8,5607,9.7,2619999.886,43,25.07945581,10.85997758,131.563865,
7,Armenia,2974,1059.405,1822.517,96.98164089,3684.805034,17.912682,0.737,352.1,2693.609464,,480.8590426,2.108,0.2322,0.6005,2.941,1019.681482,,71.67630058,59.33024006,2.645483965,0.359128397,9.823998314,6.822411404,20.41,,99.7,99.4,99.8,1.644,12.2,326429992.7,15,20.26021893,10.97872277,1.38691,
8,Australia,774122,3331.639,19490.21,2.95870005,69701.08158,2.278906,0.932,717.1,21481.01279,190,3396.196149,9.587,2.688,3.744,16.019,699.399073,,59.84768088,6.199705133,66.27372659,0.379779429,95.99931939,,200,,100,100,100,,3.2,,10,18.95230838,15.1411186,77.7863,
9,Austria,8388,3650.043,4867.505,101.3617907,48068.43873,1.348551,0.899,1126,9138.78211,93,250.252081,0.0771,2.695,0.72,3.4921,410.7276835,1.142,2.207840554,9.643547941,94.28515583,3.48433593,31.81228964,,,,100,100,100,,3,,23,14.17065675,18.90914695,2.1277,
