country,water security index
Afghanistan,1
Armenia,3
Australia,4
Azerbaijan,3
Bangladesh,2
Bhutan,3
Brunei Darussalam,3
Cambodia,2
China,3
Cook Islands,3
Fiji,2
Georgia,3
India,2
Indonesia,3
Japan,4
Kazakhstan,3
Kiribati,2
Democratic People's Republic of Korea,4
Kyrgyz Republic,3
Lao PDR,2
Malaysia,3
Maldives,3
Marshall Islands,2
Micronesia (Federated States of),2
Mongolia,3
Myanmar,2
Nauru,2
Nepal,2
New Zealand,4
Niue,3
Pakistan,2
Palau,3
Papua New Guinea,2
Philippines,3
Samoa,3
Singapore,4
Solomon Islands,2
Sri Lanka,2
Tajikistan,2
Thailand,2
Timor-Leste,2
Tonga,3
Turkmenistan,3
Tuvalu,2
Uzbekistan,3
Vanuatu,2
Vietnam,2
