Country Name,Indicator Name,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,Net official development assistance and official aid received (current US$),24860000.61,18260000.23,25799999.24,19530000.69,25069999.69,11260000.23,-7380000.114,11500000,-1700000.048,10489999.77,76220001.22,-11319999.69,,,,,,,,,,,,,,,
Afghanistan,Net official development assistance and official aid received (current US$),223800003.1,226419998.2,212529998.8,169630004.9,230750000,164199996.9,142860000.6,136009994.5,410359985.4,1223290039,1538229980,2268530029,2815100098,2895830078,4982609863,4811209961,6113120117,6235319824,6745740234,6666770020,5152540039,4942970215,4274229980,4069419922,3811739990,3792449951,4284419922
Angola,Net official development assistance and official aid received (current US$),289390014.6,447070007.3,416420013.4,459309997.6,354660003.7,335269989,387540008.5,302209991.5,282730011,414029998.8,493500000,1144569946,414679992.7,163520004.3,259980011,369040008.5,238940002.4,235169998.2,192940002.4,243610000.6,285540008.5,235389999.4,380059997.6,206529998.8,223220001.2,162660003.7,49540000.92
Albania,Net official development assistance and official aid received (current US$),270679992.7,163100006.1,180600006.1,226639999.4,168229995.7,268739990.2,488179992.7,317850006.1,268529998.8,307359985.4,349309997.6,300940002.4,315079986.6,324040008.5,308630004.9,364839996.3,357149993.9,365070007.3,379480011,349160003.7,269980011,281170013.4,335160003.7,171039993.3,168350006.1,344320007.3,28409999.85
Andorra,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Net official development assistance and official aid received (current US$),-10170000.08,-8029999.733,5409999.847,6710000.038,1740000.01,3460000.038,3329999.924,3200000.048,2369999.886,3829999.924,4960000.038,5360000.134,,,,,,,,,,,,,,,
Argentina,Net official development assistance and official aid received (current US$),245949996.9,160919998.2,148179992.7,122440002.4,99260002.14,73959999.08,82379997.25,74559997.56,157639999.4,98989997.86,117720001.2,97339996.34,93870002.75,114209999.1,90230003.36,125019996.6,116029998.8,130309997.6,97050003.05,177759994.5,34729999.54,48790000.92,-18870000.84,2619999.886,-1169999.957,73110000.61,18250000
Armenia,Net official development assistance and official aid received (current US$),109459999.1,191270004.3,217710006.7,292279998.8,166270004.3,194259994.5,209240005.5,215889999.4,211470001.2,295220001.2,250399993.9,256119995.1,172619995.1,215389999.4,351899993.9,296029998.8,405600006.1,320320007.3,375989990.2,270559997.6,280359985.4,267429992.7,347480011,326429992.7,257540008.5,141619995.1,419730011
American Samoa,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Net official development assistance and official aid received (current US$),3000000,4159999.847,2269999.981,3869999.886,4349999.905,9979999.542,10840000.15,9880000.114,8579999.924,13510000.23,5630000.114,1899999.976,8060000.42,3279999.971,4989999.771,6070000.172,4260000.229,19659999.85,15420000.08,2089999.914,1590000.033,2549999.952,1490000.01,180000.0072,10300000.19,17590000.15,27440000.53
Australia,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,Net official development assistance and official aid received (current US$),23870000.84,149039993.3,119540000.9,96360000.61,184059997.6,120360000.6,171000000,140610000.6,230910003.7,350809997.6,302029998.8,175830001.8,210399993.9,203850006.1,213309997.6,225100006.1,217580001.8,156479995.7,287769989,286790008.5,-70830001.83,216740005.5,69580001.83,79430000.31,123529998.8,87410003.66,120980003.4
