Area,Variable Name,Year,Value
Afghanistan,GDP per capita (current US$/inhab),1992,248.51889
Afghanistan,"Agriculture, value added (% GDP) (%)",1992,55.445231
Afghanistan,Human Development Index (HDI) [highest = 1] (-),1992,0.312
Afghanistan,Agricultural water withdrawal as % of total water withdrawal (%),1992,98.85164512
Afghanistan,Total population with access to safe drinking-water (JMP) (%),1992,21.3
Afghanistan,Urban population with access to safe drinking-water (JMP) (%),1992,43
Afghanistan,GDP per capita (current US$/inhab),1997,164.092893
Afghanistan,"Agriculture, value added (% GDP) (%)",1997,62.063515
Afghanistan,Human Development Index (HDI) [highest = 1] (-),1997,0.335
Afghanistan,Agricultural water withdrawal as % of total water withdrawal (%),1997,98.66544157
Afghanistan,Total population with access to safe drinking-water (JMP) (%),1997,25
Afghanistan,Urban population with access to safe drinking-water (JMP) (%),1997,46.7
Afghanistan,GDP per capita (current US$/inhab),2002,194.958382
Afghanistan,"Agriculture, value added (% GDP) (%)",2002,43.166444
Afghanistan,Human Development Index (HDI) [highest = 1] (-),2002,0.378
Afghanistan,Agricultural water withdrawal as % of total water withdrawal (%),2002,98.43110659
Afghanistan,Total population with access to safe drinking-water (JMP) (%),2002,33.8
Afghanistan,Urban population with access to safe drinking-water (JMP) (%),2002,55.9
Afghanistan,GDP per capita (current US$/inhab),2007,389.985586
Afghanistan,"Agriculture, value added (% GDP) (%)",2007,33.617103
Afghanistan,Human Development Index (HDI) [highest = 1] (-),2007,0.431
Afghanistan,Agricultural water withdrawal as % of total water withdrawal (%),2007,98.1696273
Afghanistan,Total population with access to safe drinking-water (JMP) (%),2007,42.6
Afghanistan,Urban population with access to safe drinking-water (JMP) (%),2007,65.2
Afghanistan,GDP per capita (current US$/inhab),2012,694.885618
Afghanistan,"Agriculture, value added (% GDP) (%)",2012,25.393068
Afghanistan,Human Development Index (HDI) [highest = 1] (-),2012,0.479
Afghanistan,Agricultural water withdrawal as % of total water withdrawal (%),2012,98.1696273
Afghanistan,Total population with access to safe drinking-water (JMP) (%),2012,51.6
Afghanistan,Urban population with access to safe drinking-water (JMP) (%),2012,74.5
Afghanistan,GDP per capita (current US$/inhab),2017,605.557362
Afghanistan,"Agriculture, value added (% GDP) (%)",2017,23.658185
Afghanistan,Human Development Index (HDI) [highest = 1] (-),2017,0.493
Afghanistan,Agricultural water withdrawal as % of total water withdrawal (%),2017,98.1696273
Afghanistan,Total population with access to safe drinking-water (JMP) (%),2017,55.3
Afghanistan,Urban population with access to safe drinking-water (JMP) (%),2017,78.2
Afghanistan,GDP per capita (current US$/inhab),1972,136.117015
Afghanistan,"Agriculture, value added (% GDP) (%)",1972,50.24214
Afghanistan,GDP per capita (current US$/inhab),1977,226.005343
Afghanistan,"Agriculture, value added (% GDP) (%)",1977,50.253914
Afghanistan,GDP per capita (current US$/inhab),1982,269.723949
Afghanistan,"Agriculture, value added (% GDP) (%)",1982,50.387991
Afghanistan,GDP per capita (current US$/inhab),1987,251.026688
Afghanistan,"Agriculture, value added (% GDP) (%)",1987,47.258874
Afghanistan,Agricultural water withdrawal as % of total water withdrawal (%),1987,99.00004213
Albania,GDP per capita (current US$/inhab),1992,467.862514
Albania,"Agriculture, value added (% GDP) (%)",1992,56.172816
