country,RSA,rural water supply,urban water supply,ARA,Health,2018 EPI SCORE,Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2)_x,GDP per capita (current US$/inhab),Human Development Index (HDI) [highest = 1] (-),Groundwater: accounted outflow to other countries (10^9 m3/year),Produced municipal wastewater (km<sup>3</sup>/year or 10^9m<sup>3</sup>/year),Collected municipal wastewater (km<sup>3</sup>/year or 10^9m<sup>3</sup>/year),Treated municipal wastewater (km<sup>3</sup>/year or 10^9m<sup>3</sup>/year),Number of municipal wastewater treatment facilities (-),Capacity of the municipal wastewater treatment facilities (10^9 m3/yr),SDG 6.4.1. Water Use Efficiency (US$/m3)_x,Non-irrigated cultivated area drained (1000 ha),Flood occurrence (WRI) (-),Population affected by water related disease (1000 inhabitants),Total renewable water resources per capita (m3/inhab/yr),Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%),SDG 6.4.2. Water Stress (%),SDG 6.4.1. Water Use Efficiency (US$/m3)_y,Resilience and securityStorage ,water productivity(industry),water productivity(Total agricultural production_US$)
Afghanistan,62.26143773,57.32129212,95.90874286,2.730664253,694.1095419,37.74,26558.609,8971.472,55.59555341,605.557362,0.493,,,,,,,0.923777773,,3.7,,1799.917253,20,0.1695,0.2034,561.2970182,31.0454615,54.75701944,0.923777773,2.009,1.022642732,4500000000
Albania,98.28801438,89.87517388,91.8354214,-0.265874296,2.511507426,65.46,1190.155,1740.032,104.0089794,4445.132198,0.789,0,0.054,,0.0205,7,,6.656907137,,2.7,,10470.95368,0.905,0.2318,0.283,492.273511,3.933774834,7.139423077,6.656907137,4.03,11.7654776,2310000000
Algeria,89.67236867,88.69095651,95.44293244,0.073382147,137.4427876,57.18,11547.532,29770.61,17.37771083,4051.244377,0.758,0.1,1.5,0.705,0.4,138,0.27,14.35461959,0,2.8,,281.8852044,6.671,0.191,3.6,252.7713215,84.01474244,137.9203602,14.35461959,8.61925,20.23597883,60800000000
American Samoa,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,>99,>99,>99,0,,,9.12,67.845,163.8319149,39249.68902,0.852,,,,,,,,,3.3,,4098.64807,,,,,,,,,,256000000
Angola,64.3256498,27.4442923,71.24295652,0.598613501,2106.792507,37.44,10472.554,19311.639,23.9165525,4100.291004,0.576,0,,,,,,142.4678362,,1.7,,4977.065588,0.1467,0.2396,0.3195,23.6712459,0.475539084,1.871883289,142.4678362,9.44521,144.0740152,50900000000
Anguilla,96.70216161,-,97.48227425,0.077237852,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,-,-,-,-,0.068272461,59.18,76.802,25.21,216.8772727,14390.24603,0.774,0,,,0.0002,,,109.8390235,,3.6,,544.9248632,0.0018,0.0025,0.0072,120.5122294,8.461538462,8.461538462,109.8390235,0.005021,308.4103714,223000000
Argentina,95.85623215,-,>99,0.059384599,77.47035453,59.3,3652.804,40618.237,15.80245288,14517.29125,0.832,0,2.458,1.596,0.29,25,0.295,13.61656379,,2.5,5607,19943.0368,27.93,4,5.85,859.8647978,4.301332968,10.45666408,13.61656379,131.563865,12.17625216,1.29E+11
Armenia,>99,>99,>99,0.066932529,2.771226763,62.07,1081.248,1849.202,99.01785474,3933.682101,0.758,,0.236,,0.17,,,3.260519012,0,3.3,1.644,2638.217789,2.127,0.1224,0.6164,973.1760251,36.87733299,57.79705467,3.260519012,1.38691,4.315758661,2450000000
