country,water security index,Total area of the country (excl. coastal water) (1000 ha),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Urban population with access to safe drinking-water (JMP) (%),Total renewable water resources per capita (m3/inhab/yr),Total population with access to safe drinking-water (JMP) (%),Rural population with access to safe drinking-water (JMP) (%),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Total water withdrawal (10^9 m3/yr),SDG 6.4.2. Water Stress (%),Agricultural water withdrawal as % of total water withdrawal (%),Agricultural water withdrawal (10^9 m3/year),Human Development Index (HDI) [highest = 1] (-),Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Water Use Efficiency (US$/m3),Dam capacity per capita (m3/inhab),Resilience and securityStorage drought duration index(Total dam capacity_km3),nutrient security,National Rainfall Index (NRI) (mm/yr),"Mortality rate, infant (per 1,000 live births)",longitude,latitude,population ages0-14,Population ages 65 and above (_ of total population),Net official development assistance and official aid received (current US$),% of total cultivated area drained (%),Total exploitable water resources (10^9 m3/yr)
Afghanistan,1,0.038168229,0.029867419,0.010618362,0.006753895,0.004585862,0.286053285,0.557809331,0.003540469,0.345534407,0.418859649,0.114077541,0.026763677,0.014213729,0.986782782,0.029069767,0.206896552,0.002541613,0.000808298,0.000564235,0.002115932,0.000594481,0.001578856,0.002387387,0.631799163,0.0456312,0.565491184,0.68222372,0.706943929,0.803525276,0.054357146,0.451698394,0.281355175,0.019860082
Armenia,3,0.001724179,0.001215956,0.002172626,0.012224856,0.034868608,0.181188097,1,0.005189421,1,1,0.199058987,0.003758111,0.015003252,0.746046732,0.00309157,0.663793103,0.007743229,0.000583691,0.000379806,0.005276213,0.002508489,0.013434342,0.001648129,0.041841004,0.092827123,0.11209068,0.617727065,0.764848574,0.224854682,0.384687129,0.096480075,0.06408819,0.00370823
Australia,4,0.452740936,0.003876038,0.024886693,0.000149309,0.526065918,0.031137787,1,0.039364964,1,1,0.137196559,0.021745372,0.00165795,0.637574251,0.015261628,0.972413793,0.042701112,0.012694325,0.002255255,0.008248167,0.059041638,0.09025312,0.092437045,0.050209205,0.19591816,0.018891688,0.870165482,0.147606781,0.185119175,0.54998612,0.077651533,0.015605461,0.0781893
Azerbaijan,3,0.005049716,0.004935425,0.006429396,0.014073121,0.036912942,0.067572376,0.892494929,0.006927793,0.80966325,0.756578947,0.266128461,0.016788172,0.014651687,0.729019144,0.013473837,0.653448276,0.005642431,0.014601812,0.00012849,0.00392521,0.002840183,0.062414696,0.025599827,1,0.123217796,0.20906801,0.624949149,0.765547586,0.296193533,0.197047539,0.069020828,0.244543851,0.013787243
Bangladesh,2,0.008639437,0.118781988,0.069998748,0.135712502,0.012648669,0.162054695,0.726166329,0.015114677,0.808199122,0.85745614,0.044614125,0.047127961,0.001479271,0.882721283,0.045784884,0.406896552,0.045320813,0.003671912,0.00161431,0.01308498,0.004519096,0.001156994,0.007696918,0.10041841,0.645536299,0.302267003,0.746647834,0.610082587,0.396763476,0.14988739,0.469913887,0.164239783,0.055851852
Bhutan,3,0.002230321,0.000543419,0.000364476,0.002195824,0.02755801,0.209908432,1,0.205787273,1,1,0.091804966,0.000436403,0.00036005,0.945703161,0.000462209,0.417241379,0.000193959,1.43E-05,0.004551257,0.009464291,0.004638135,0,0,0.220920502,0.730268658,0.279596977,0.746867737,0.646253626,0.346799807,0.183882772,0.074575179,0.290912582,0.034222222
Brunei Darussalam,3,0.00032226,0.000109381,0.000372826,0.009018007,0.256494731,0.01285273,0.996348884,0.039389196,0.994143485,0.992105263,0.042986253,0.000113141,0.000893142,0.057907186,7.70E-06,0.810344828,0.001887947,0.002784359,0.001492328,0.069398229,0.064039978,0.003024896,5.35E-05,0.175732218,1,0.100755668,0.546220432,0.868849473,0.274189199,0.150947545,0.063777513,0.282770269,0.003650617
Cambodia,2,0.010573173,0.013863142,0.004341295,0.010890876,0.011683591,0.282461585,1,0.058496669,0.641288433,0.661184211,0.026414218,0.002862177,0.000262071,0.944888876,0.002984012,0.353448276,0.00121413,0.000157368,0.00406436,0.005962545,0.005571263,1.78E-06,1.19E-06,0.117154812,0.656551506,0.267002519,0.788280577,0.505048473,0.500329501,0.132656116,0.148350706,0.292487873,0.016938272
China,3,0.561454931,0.672295616,1,0.01881399,0.079543967,0.092094642,0.949290061,0.003845977,0.934114202,0.923245614,0.083219448,0.785937894,0.011217907,0.64737645,0.559883721,0.655172414,1,0.636623748,0.000795096,0.035983798,0.017029072,0.016307513,0.986873886,0.10460251,0.289660393,0.065491184,0.786017257,0.725105017,0.145905306,0.384259695,0.003673797,0.060060519,0.186806584
Fiji,2,0.00105334,0.000450689,0.000578338,0.00580034,0.052870817,0.127176345,0.989858012,0.064001114,0.93704246,0.903508772,0.018230676,0.000103812,7.01E-05,0.591979592,7.27E-05,0.6,0.000298495,4.58E-05,0.001518644,0.005256683,0.033379428,0.004324789,0.000158093,0.10460251,0.664459859,0.253148615,1,0.22975203,0.452196147,0.166421939,0.070683549,0.273931493,0.013787243
Georgia,3,0.004061296,0.001837594,0.002681154,0.006995591,0.036854615,0.075231135,1,0.031075094,1,1,0.092095969,0.002387798,0.001535049,0.584923509,0.001541888,0.706896552,0.004513625,0.001918008,0.000104734,0.006878812,0.005858422,0.024292271,0.004056895,0.087866109,0.315362542,0.086901763,0.612944108,0.786067368,0.205272875,0.517945513,0.103557438,0.347831511,0.013787243
India,2,0.192244761,1,0.533555733,0.051058055,0.016912017,0.188755268,0.941176471,0.002807828,0.913616398,0.918859649,0.115557887,1,0.017261426,0.908757907,1,0.465517241,0.705283734,0.081068193,0.000714582,0.007175886,0.00214814,0.005272985,0.294071275,0.10041841,0.417606254,0.33627204,0.71423593,0.580881832,0.380871977,0.194497206,0.297849421,0.032150905,0.448024691
Indonesia,3,0.115760332,0.134608934,0.171087649,0.016593839,0.034074666,0.158916289,0.882352941,0.015003983,0.815519766,0.775219298,0.171837142,0.292550363,0.007705314,0.856482141,0.275726744,0.570689655,0.299734,0.043562232,0.000811638,0.004197449,0.00290548,0.002586865,0.028521181,0.09623431,0.820649841,0.234256927,0.813685462,0.378895693,0.370124496,0.182293243,0,0.061343358,1
Japan,4,0.022090901,0.012135595,0.138357116,0.042251517,0.345948705,0.014097058,1,0.006633722,1,1,0.130070478,0.1070233,0.009691279,0.671725239,0.079113372,0.931034483,0.194064364,0.055364807,0.002181533,0.013023226,0.044723667,0.007041218,0.037401375,0.205020921,0.439071785,0.002518892,0.882903911,0.728345977,0.006438912,1,0.145260562,0.189086806,0.036460905
Kazakhstan,3,0.159354521,0.008734396,0.012357079,0.000585161,0.082449372,0.054374741,0.987829615,0.011794478,0.896046852,0.842105263,0.277298077,0.032122588,0.008079492,0.621583656,0.021976744,0.75862069,0.029539638,0.033304721,0.000135482,0.00070207,0.00568249,0.126132021,0.095004585,0.054393305,0.070909687,0.09697733,0.679986857,0.83994986,0.441201092,0.241969586,0.062902126,0.010912265,0.01909465
Democratic People's Republic of Korea,4,0.007034745,0.010985574,0.018623764,0.026329661,0.005305082,0.275980475,0.997971602,0.005967615,0.995607613,0.993421053,0.06851276,0.011369208,0.007197304,0.76742922,0.009607558,0.376206897,0.011350355,0.005460181,7.75E-05,0.006528619,0.001262256,0.023809753,0.025224269,0.041841004,0.244944303,0.344584383,0.457404294,0.58294524,0.599996457,0.140022888,0.309262894,0.019052099,0.014295802
Malaysia,3,0.019332097,0.008732195,0.028272836,0.011596232,0.090846756,0.103928522,1,0.036678451,0.973645681,0.923245614,0.034670752,0.007203867,0.000886136,0.458815465,0.003640988,0.739655172,0.016881952,0.007825465,0.001515212,0.017514123,0.044911575,0.020588146,0.026678588,0.238493724,0.895496758,0.071788413,0.779702946,0.426124347,0.302939862,0.214718366,0.05845166,0.106388573,0.018436214
Maldives,3,2.34E-06,0.000297456,0.00018356,0.2082285,0.097838409,0.064724906,0.989858012,0.000118876,0.979502196,0.976973684,0.000719535,0,0.004061637,0,0,0.59137931,5.04E-05,1.43E-06,0.032406751,0.048055918,0.039538237,0,0,0.125523013,0.225399372,0.061712846,0.69790054,0.416605503,0.202027037,0.092546267,0.064526243,0,0.003561317
Mongolia,3,0.09146433,0.001094263,0.002473123,0,0.032901315,0.124924024,0.318458418,0.021983596,0.478770132,0.552631579,0.028906869,0.000599873,0.000874584,0.545415225,0.00036468,0.613793103,0.000550389,0.000792561,0.000546892,0.009166222,0.018067214,0.002290202,0.000297087,0.347280335,0.043512891,0.14861461,0.785025276,0.829019768,0.492307388,0.112971784,0.086810743,0.297818425,0.016378601
