country,latitude,longitude
Andorra,42.5462 ,1.6016 
United Arab Emirates,23.4241 ,53.8478 
Afghanistan,33.9391 ,67.7100 
Antigua and Barbuda,17.0608 ,-61.7964 
Anguilla,18.2206 ,-63.0686 
Albania,41.1533 ,20.1683 
Armenia,40.0691 ,45.0382 
Netherlands Antilles,12.2261 ,-69.0601 
Angola,-11.2027 ,17.8739 
Antarctica,-75.2510 ,-0.0714 
Argentina,-38.4161 ,-63.6167 
American Samoa,-14.2710 ,-170.1322 
Austria,47.5162 ,14.5501 
Australia,-25.2744 ,133.7751 
Aruba,12.5211 ,-69.9683 
Azerbaijan,40.1431 ,47.5769 
Bosnia and Herzegovina,43.9159 ,17.6791 
Barbados,13.1939 ,-59.5432 
Bangladesh,23.6850 ,90.3563 
Belgium,50.5039 ,4.4699 
Burkina Faso,12.2383 ,-1.5616 
Bulgaria,42.7339 ,25.4858 
Bahrain,25.9304 ,50.6378 
Burundi,-3.3731 ,29.9189 
Benin,9.3077 ,2.3158 
Bermuda,32.3214 ,-64.7574 
Brunei,4.5353 ,114.7277 
Bolivia,-16.2902 ,-63.5887 
Brazil,-14.2350 ,-51.9253 
Bahamas,25.0343 ,-77.3963 
Bhutan,27.5142 ,90.4336 
Bouvet Island,-54.4232 ,3.4132 
Botswana,-22.3285 ,24.6849 
Belarus,53.7098 ,27.9534 
Belize,17.1899 ,-88.4977 
Canada,56.1304 ,-106.3468 
Cocos [Keeling] Islands,-12.1642 ,96.8710 
Congo [DRC],-4.0383 ,21.7587 
Central African Republic,6.6111 ,20.9394 
Congo [Republic],-0.2280 ,15.8277 
Switzerland,46.8182 ,8.2275 
C?te d'Ivoire,7.5400 ,-5.5471 
Cook Islands,-21.2367 ,-159.7777 
Chile,-35.6751 ,-71.5430 
Cameroon,7.3697 ,12.3547 
China,35.8617 ,104.1954 
Colombia,4.5709 ,-74.2973 
Costa Rica,9.7489 ,-83.7534 
Cuba,21.5218 ,-77.7812 
Cape Verde,16.0021 ,-24.0132 
Christmas Island,-10.4475 ,105.6904 
Cyprus,35.1264 ,33.4299 
Czech Republic,49.8175 ,15.4730 
Germany,51.1657 ,10.4515 
Djibouti,11.8251 ,42.5903 
Denmark,56.2639 ,9.5018 
Dominica,15.4150 ,-61.3710 
Dominican Republic,18.7357 ,-70.1627 
Algeria,28.0339 ,1.6596 
Ecuador,-1.8312 ,-78.1834 
Estonia,58.5953 ,25.0136 
Egypt,26.8206 ,30.8025 
Western Sahara,24.2155 ,-12.8858 
Eritrea,15.1794 ,39.7823 
Spain,40.4637 ,-3.7492 
Ethiopia,9.1450 ,40.4897 
Finland,61.9241 ,25.7482 
Fiji,-16.5782 ,179.4144 
Falkland Islands [Islas Malvinas],-51.7963 ,-59.5236 
Micronesia,7.4256 ,150.5508 
Faroe Islands,61.8926 ,-6.9118 
France,46.2276 ,2.2137 
Gabon,-0.8037 ,11.6094 
United Kingdom,55.3781 ,-3.4360 
Grenada,12.2628 ,-61.6042 
Georgia,42.3154 ,43.3569 
French Guiana,3.9339 ,-53.1258 
Guernsey,49.4657 ,-2.5853 
Ghana,7.9465 ,-1.0232 
Gibraltar,36.1377 ,-5.3454 
Greenland,71.7069 ,-42.6043 
Gambia,13.4432 ,-15.3101 
