country,water security index,Net official development assistance and official aid received (current US$),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Mortality rate, infant (per 1,000 live births)",GDP per capita (current US$),Gross domestic savings (% of GDP),RSA,rural water supply,urban water supply,ARA,Health,2018 EPI SCORE,Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2)_x,GDP per capita (current US$/inhab),Human Development Index (HDI) [highest = 1] (-),Groundwater: accounted outflow to other countries (10^9 m3/year),Produced municipal wastewater (km<sup>3</sup>/year or 10^9m<sup>3</sup>/year),Collected municipal wastewater (km<sup>3</sup>/year or 10^9m<sup>3</sup>/year),Treated municipal wastewater (km<sup>3</sup>/year or 10^9m<sup>3</sup>/year),Number of municipal wastewater treatment facilities (-),Capacity of the municipal wastewater treatment facilities (10^9 m3/yr),SDG 6.4.1. Water Use Efficiency (US$/m3)_x,Non-irrigated cultivated area drained (1000 ha),Flood occurrence (WRI) (-),Population affected by water related disease (1000 inhabitants),Total renewable water resources per capita (m3/inhab/yr),Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%),SDG 6.4.2. Water Stress (%),SDG 6.4.1. Water Use Efficiency (US$/m3)_y,Resilience and securityStorage ,water productivity(industry),water productivity(Total agricultural production_US$)
Afghanistan,1,3811739990,43.682526,2.55425147,49.6,519.8847731,,62.26143773,57.32129212,95.90874286,2.730664253,694.1095419,37.74,26558.609,8971.472,55.59555341,605.557362,0.493,,,,,,,0.923777773,,3.7,,1799.917253,20,0.1695,0.2034,561.2970182,31.0454615,54.75701944,0.923777773,2.009,1.022642732,4500000000
Armenia,3,257540008.5,20.45438878,11.09664489,11.6,3914.501268,7.651454985,99,99,99,0.066932529,2.771226763,62.07,1081.248,1849.202,99.01785474,3933.682101,0.758,,0.236,,0.17,,,3.260519012,0,3.3,1.644,2638.217789,2.127,0.1224,0.6164,973.1760251,36.87733299,57.79705467,3.260519012,1.38691,4.315758661,2450000000
Australia,4,,19.06503741,15.40402089,3.1,54027.96682,24.64969067,,99,99,0.007647059,5.049121503,74.12,3446.638,21003.923,3.175806914,57917.09369,0.937,,2.094,1.828,2,580,,72.2797509,,2.7,,20012.51189,10.5,2.662,3.392,673.3478085,3.240853659,6.411338963,72.2797509,77.7863,86.4937304,3.05E+11
Azerbaijan,3,123529998.8,23.28766358,5.989688502,20.5,4147.089716,31.07219731,96.44327863,81.57112838,99,0.498430103,23.7803258,62.33,4388.663,5438.926,113.6872979,4158.357869,0.752,,0.659,,0.161,,,3.665471529,0,3,,3521.977955,9.27,3.062,0.4496,1298.241195,36.86113915,56.44336498,3.665471529,21.5424,4.444316073,19800000000
Bangladesh,2,3781770020,28.22458799,5.149475008,28,1563.913699,25.32925144,50.69439557,96.75254739,97.48727374,-0.068709746,1415.845781,29.56,105622.933,59046.818,1079.123269,1491.67341,0.609,0.032,0.725,,,,,5.715194816,1383,4.9,,7684.057626,31.5,0.77,3.6,224.6291434,2.923314143,5.723339482,5.715194816,6.477,5.017901276,64900000000
Bhutan,3,118540000.9,26.21938052,5.924918484,25.5,3286.574703,29.30597267,72.59437296,96.73119365,97.98144806,0.131186739,3.971106365,47.22,483.217,324.393,19.4187373,3130.235119,0.615,,0.0039,,,,,5.860524693,,4.7,,104618.9256,0.318,0.003,0.017,453.3486774,0.433205128,1.413807531,5.860524693,0,6.778336876,691000000
Brunei Darussalam,3,,23.49595852,4.567781696,9.2,28572.14678,53.0472226,,,,,0.136754254,63.57,97.263,331.434,73.56551127,28290.76622,0.843,,,,,,,,,2.3,,20024.83079,0.0053,,0.1515,216.739345,1.082352941,3.466465712,,0.045013,146.501969,7130000000
Cambodia,2,856260009.8,31.27242861,4.410837402,24.8,1385.25998,21.48502505,95.83492605,72.8966363,97.32665586,1.280442238,122.788768,43.23,12327.338,3678.035,88.43023089,1385.609732,0.578,,,,0.0002,,,6.999746947,,3.9,507,29738.76175,2.053,0.033,0.098,136.4197766,0.458727158,1.036544851,6.999746947,0.001,8.326099915,6720000000
China,3,-989940002.4,17.9373611,10.34512046,7.9,8879.438667,45.13239157,90.79676437,86.15161125,97.70186044,-0.032093082,1315.734011,50.74,597816.52,843314.783,151.3149594,8843.579277,0.753,,48.51,31.14,49.31,4436,62.46,20.98816234,4204,3.5,,1955.23244,385.2,133.5,79.4,411.7373028,20.83641408,43.22168826,20.98816234,830.46,17.21124954,4.94E+12
Cook Islands,3,,,,,,,,,,,,,4.374,13.006,72.94583333,19885.44277,,,,,,,,,,,,,,,,,,,,,,18800000
